BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	Description	ENA_CHECKLIST	dangling_references (run)	use_species
PRJEB11502	ERR1097517	WGS	200	30749753200	SAMEA3638009	12499706836	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177051	Illumina HiSeq 2000	u017_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638009	ERP012899	NA	ERS945158	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:47Z	public	ERS945158	u017	u017	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097518	WGS	200	27548479400	SAMEA3638008	12139996050	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177052	Illumina HiSeq 2000	u018_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638008	ERP012899	NA	ERS945157	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:47Z	public	ERS945157	u018	u018	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097519	WGS	200	25142221200	SAMEA3638005	10492286734	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177053	Illumina HiSeq 2000	u019_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638005	ERP012899	NA	ERS945154	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:46Z	public	ERS945154	u019	u019	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097521	WGS	200	20940804200	SAMEA3637987	8274461078	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177055	Illumina HiSeq 2000	u021_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3637987	ERP012899	NA	ERS945136	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:41Z	public	ERS945136	u021	u021	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097522	WGS	200	22976732200	SAMEA3637998	9264300851	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177056	Illumina HiSeq 2000	u022_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3637998	ERP012899	NA	ERS945147	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:46Z	public	ERS945147	u022	u022	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097523	WGS	200	24077199200	SAMEA3638021	9575865811	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177057	Illumina HiSeq 2000	u023_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638021	ERP012899	NA	ERS945170	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:51Z	public	ERS945170	u023	u023	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097524	WGS	200	21933240000	SAMEA3637990	9046914473	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177058	Illumina HiSeq 2000	u024_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3637990	ERP012899	NA	ERS945139	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:41Z	public	ERS945139	u024	u024	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097525	WGS	200	23272174600	SAMEA3638016	9372483114	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177059	Illumina HiSeq 2000	u025_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638016	ERP012899	NA	ERS945165	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:47Z	public	ERS945165	u025	u025	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097526	WGS	200	25723000600	SAMEA3637995	10639778267	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177060	Illumina HiSeq 2000	u026_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3637995	ERP012899	NA	ERS945144	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:46Z	public	ERS945144	u026	u026	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097528	WGS	200	25894600800	SAMEA3638014	10531732696	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177062	Illumina HiSeq 2000	u028_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638014	ERP012899	NA	ERS945163	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:47Z	public	ERS945163	u028	u028	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097529	WGS	200	26889348800	SAMEA3638003	10877880689	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177063	Illumina HiSeq 2000	u029_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638003	ERP012899	NA	ERS945152	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:46Z	public	ERS945152	u029	u029	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097530	WGS	200	28448010600	SAMEA3638018	11737538027	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177064	Illumina HiSeq 2000	u030_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638018	ERP012899	NA	ERS945167	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:47Z	public	ERS945167	u030	u030	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097531	WGS	200	27428012800	SAMEA3638004	11374415857	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177065	Illumina HiSeq 2000	u032_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638004	ERP012899	NA	ERS945153	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:46Z	public	ERS945153	u032	u032	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097534	WGS	200	27158920400	SAMEA3637993	11280789794	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177068	Illumina HiSeq 2000	u036_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3637993	ERP012899	NA	ERS945142	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:46Z	public	ERS945142	u036	u036	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097535	WGS	200	23571601600	SAMEA3637992	9350232407	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177069	Illumina HiSeq 2000	u037_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3637992	ERP012899	NA	ERS945141	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:46Z	public	ERS945141	u037	u037	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097536	WGS	200	21244589600	SAMEA3637997	8594022765	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177070	Illumina HiSeq 2000	u038_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3637997	ERP012899	NA	ERS945146	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:46Z	public	ERS945146	u038	u038	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097537	WGS	200	21308200200	SAMEA3637996	8540017044	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177071	Illumina HiSeq 2000	u040_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3637996	ERP012899	NA	ERS945145	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:46Z	public	ERS945145	u040	u040	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097538	WGS	200	17403432200	SAMEA3637988	6802086592	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177072	Illumina HiSeq 2000	u041_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3637988	ERP012899	NA	ERS945137	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:41Z	public	ERS945137	u041	u041	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097539	WGS	200	23224523000	SAMEA3637991	9398684216	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177073	Illumina HiSeq 2000	u042_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3637991	ERP012899	NA	ERS945140	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:46Z	public	ERS945140	u042	u042	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097540	WGS	200	23309322400	SAMEA3637994	9353899030	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177074	Illumina HiSeq 2000	u043_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3637994	ERP012899	NA	ERS945143	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:46Z	public	ERS945143	u043	u043	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097541	WGS	200	21234726600	SAMEA3638027	8921688705	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177075	Illumina HiSeq 2000	u101_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638027	ERP012899	NA	ERS945176	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:51Z	public	ERS945176	u101	u101	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097542	WGS	200	25013727200	SAMEA3638040	10623148093	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177076	Illumina HiSeq 2000	u102_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638040	ERP012899	NA	ERS945189	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:51Z	public	ERS945189	u102	u102	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097543	WGS	200	22004778200	SAMEA3638057	9174999711	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177077	Illumina HiSeq 2000	u103_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638057	ERP012899	NA	ERS945206	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:56Z	public	ERS945206	u103	u103	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097544	WGS	200	24260253400	SAMEA3638023	10397551390	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177078	Illumina HiSeq 2000	u104_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638023	ERP012899	NA	ERS945172	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:51Z	public	ERS945172	u104	u104	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097545	WGS	200	23936768000	SAMEA3638063	10066010154	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177079	Illumina HiSeq 2000	u105_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638063	ERP012899	NA	ERS945212	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:56Z	public	ERS945212	u105	u105	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097547	WGS	200	17171973800	SAMEA3638048	7111376426	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177081	Illumina HiSeq 2000	u107_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638048	ERP012899	NA	ERS945197	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:51Z	public	ERS945197	u107	u107	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097548	WGS	200	20765346000	SAMEA3638053	8769842100	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177082	Illumina HiSeq 2000	u108_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638053	ERP012899	NA	ERS945202	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:56Z	public	ERS945202	u108	u108	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097549	WGS	200	19277760200	SAMEA3638059	8098530301	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177083	Illumina HiSeq 2000	u109_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638059	ERP012899	NA	ERS945208	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:56Z	public	ERS945208	u109	u109	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097550	WGS	200	18622418800	SAMEA3638067	8297810267	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177084	Illumina HiSeq 2000	u110_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638067	ERP012899	NA	ERS945216	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:56Z	public	ERS945216	u110	u110	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097552	WGS	200	20699661800	SAMEA3638024	8662203241	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177086	Illumina HiSeq 2000	u112_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638024	ERP012899	NA	ERS945173	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:51Z	public	ERS945173	u112	u112	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097554	WGS	200	26304991000	SAMEA3638038	11073280566	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177088	Illumina HiSeq 2000	u114_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638038	ERP012899	NA	ERS945187	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:51Z	public	ERS945187	u114	u114	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
PRJEB11502	ERR1097555	WGS	200	25165021200	SAMEA3638031	10611046342	UPPSALA UNIVERISTY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1177089	Illumina HiSeq 2000	u115_450	PAIRED	RANDOM	GENOMIC	Ficedula_albicollis	ILLUMINA	2015-10-28T00:00:00Z	SAMEA3638031	ERP012899	NA	ERS945180	2015-10-27	2018-11-16	UPPSALA UNIVERISTY	UPPSALA UNIVERISTY	2015-10-27T17:01:11Z	2018-03-09T09:25:51Z	public	ERS945180	u115	u115	AGTO02	unspecified	ERC000011	treat_as_unmapped	1
