Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Collection_Date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	sub_species	Isolate	BioSampleModel	strain	lat_lon	collected_by	Host	Isolation_source	Host_disease
SRR12495824	WGS	499	346728103	PRJNA421972	SAMN08235560	193524437	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987321	Illumina MiSeq	CjRM9923	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9923	SRP278481	missing	2009-09	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9923	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495825	WGS	499	301870672	PRJNA421972	SAMN08235559	164132335	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987320	Illumina MiSeq	CjRM9922	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9922	SRP278481	missing	2009-09	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9922	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495826	WGS	497	328168345	PRJNA421972	SAMN08235558	182290098	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987319	Illumina MiSeq	CjRM9921	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9921	SRP278481	missing	2009-09	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9921	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495827	WGS	498	274797251	PRJNA421972	SAMN08235557	144102445	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987318	Illumina MiSeq	CjRM9762	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9762	SRP278481	missing	2009-09	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9762	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495828	WGS	495	265914850	PRJNA421972	SAMN08235556	146809178	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987317	Illumina MiSeq	CjRM9730	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9730	SRP278481	missing	2009-09	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9730	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495829	WGS	496	364380051	PRJNA421972	SAMN08235555	198937432	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987316	Illumina MiSeq	CjRM9729	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9729	SRP278481	missing	2009-09	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9729	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495830	WGS	494	222824180	PRJNA421972	SAMN08235554	125178573	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987315	Illumina MiSeq	CjRM9748	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9748	SRP278481	missing	2009-09	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9748	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495831	WGS	496	283193612	PRJNA421972	SAMN08235553	172218286	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987314	Illumina MiSeq	CjRM9747	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9747	SRP278481	missing	2009-09	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9747	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495832	WGS	500	235045928	PRJNA421972	SAMN08235552	136757882	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987313	Illumina MiSeq	CjRM9518	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9518	SRP278481	missing	2009-08	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9518	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495834	WGS	493	372141529	PRJNA421972	SAMN08235551	208751095	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987311	Illumina MiSeq	CjRM9517	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9517	SRP278481	missing	2009-08	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9517	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495835	WGS	500	197394184	PRJNA421972	SAMN08235550	113952414	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987310	Illumina MiSeq	CjRM9516	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9516	SRP278481	missing	2009-08	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9516	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
SRR12495836	WGS	499	310479652	PRJNA421972	SAMN08235549	186063124	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	public	fastq,realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8987309	Illumina MiSeq	CjRM9378	PAIRED	RANDOM	GENOMIC	Campylobacter_jejuni_subsp._jejuni	ILLUMINA	2020-08-22T00:00:00Z	CjRM9378	SRP278481	missing	2009-08	USA	North America	USA: California	jejuni	not applicable	Pathogen.cl	RM9378	36.68 N 121.67 W	USDA ARS PSM	Corvus brachyrhynchos	Salinas Valley pasture	not applicable
