Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Isolate	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	sex	SRA Study	tissue	Biomaterial_provider	lat_lon	Specimen_voucher	collected_by	sub_species
SRR6032904	WGS	300	285167400	PRJNA406821	SAMN07637257	Model organism or animal	172085606	"UNIVERSITY OF CALIFORNIA, BERKELEY"	5/29/06	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182939	USA	North America	"USA: Lupton Creek.\, 40.9088897705\, -123.8319473267\, 426.0 m\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	ASG017_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:95477	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	40.9088897705 N 123.8319473267 W	CAS:ORN:95477	J. P. Dumbacher	
SRR6032905	WGS	300	283087800	PRJNA406821	SAMN07637257	Model organism or animal	170642475	"UNIVERSITY OF CALIFORNIA, BERKELEY"	5/29/06	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182938	USA	North America	"USA: Lupton Creek.\, 40.9088897705\, -123.8319473267\, 426.0 m\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	ASG017_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:95477	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	40.9088897705 N 123.8319473267 W	CAS:ORN:95477	J. P. Dumbacher	
SRR6032906	WGS	300	310314600	PRJNA406821	SAMN07637261	Model organism or animal	190305828	"UNIVERSITY OF CALIFORNIA, BERKELEY"	10/16/13	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182937	USA	North America	"USA: UTM zone 10\, NAD83\, 436575E 4552050N\, Territory #2028\, Hoopa Valley Indian Reservation\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	Hoopa20005_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97815	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.119 N 123.75662 W	CAS:ORN:97815	J. Mark Higley	
SRR6032907	WGS	300	308685600	PRJNA406821	SAMN07637261	Model organism or animal	189253918	"UNIVERSITY OF CALIFORNIA, BERKELEY"	10/16/13	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182936	USA	North America	"USA: UTM zone 10\, NAD83\, 436575E 4552050N\, Territory #2028\, Hoopa Valley Indian Reservation\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	Hoopa20005_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97815	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.119 N 123.75662 W	CAS:ORN:97815	J. Mark Higley	
SRR6032910	WGS	300	792404700	PRJNA406821	SAMN07637271	Model organism or animal	473726979	"UNIVERSITY OF CALIFORNIA, BERKELEY"	5/25/06	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182933	USA	North America	"USA: Salmon Creek\, 40.6672210693\, -124.1624984741\, 168.0 m\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	MK998_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:95476	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	40.6672210693 N 124.1624984741 W	CAS:ORN:95476	J. P. Dumbacher	
SRR6032911	WGS	300	974512800	PRJNA406821	SAMN07637272	Model organism or animal	585167356	"UNIVERSITY OF CALIFORNIA, BERKELEY"	7/1/11	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182932	USA	North America	"USA: Hoopa Valley Indian Reservation\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	NSO138799040_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix occidentalis caurina	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:99423	female	SRP117279	blood	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.0818624516879 N 123.7369464 W	CAS:ORN:99423	J. Mark Higley	caurina
SRR6032912	WGS	300	793638300	PRJNA406821	SAMN07637271	Model organism or animal	480406783	"UNIVERSITY OF CALIFORNIA, BERKELEY"	5/25/06	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182931	USA	North America	"USA: Salmon Creek\, 40.6672210693\, -124.1624984741\, 168.0 m\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	MK998_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:95476	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	40.6672210693 N 124.1624984741 W	CAS:ORN:95476	J. P. Dumbacher	
SRR6032913	WGS	300	787240500	PRJNA406821	SAMN07637271	Model organism or animal	476104622	"UNIVERSITY OF CALIFORNIA, BERKELEY"	5/25/06	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182930	USA	North America	"USA: Salmon Creek\, 40.6672210693\, -124.1624984741\, 168.0 m\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	MK998_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:95476	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	40.6672210693 N 124.1624984741 W	CAS:ORN:95476	J. P. Dumbacher	
SRR6032914	WGS	300	571478100	PRJNA406821	SAMN07637318	Model organism or animal	343213101	"UNIVERSITY OF CALIFORNIA, BERKELEY"	8/3/05	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182929	USA	North America	"USA: Chandler Glade\, 41.8554725647\, -122.2777786255\, 1774.0 m\, Klamath National Forest\, Siskiyou County\, California"	Illumina HiSeq 2500	not applicable	MK987_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:92980	female	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.8554725647 N 122.2777786255 W	CAS:ORN:92980	B. Woodbridge	
SRR6032915	WGS	300	636889200	PRJNA406821	SAMN07637318	Model organism or animal	378759948	"UNIVERSITY OF CALIFORNIA, BERKELEY"	8/3/05	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182928	USA	North America	"USA: Chandler Glade\, 41.8554725647\, -122.2777786255\, 1774.0 m\, Klamath National Forest\, Siskiyou County\, California"	Illumina HiSeq 2500	not applicable	MK987_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:92980	female	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.8554725647 N 122.2777786255 W	CAS:ORN:92980	B. Woodbridge	
SRR6032916	WGS	300	111267000	PRJNA406821	SAMN07637317	Model organism or animal	67131789	"UNIVERSITY OF CALIFORNIA, BERKELEY"	7/28/05	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182927	USA	North America	"USA: Black Rock\, 41.8506126404\, -122.2617187500\, 1839.0 m\, Chandler Glade\, Klamath National Forest\, Siskiyou County\, California"	Illumina HiSeq 2500	not applicable	MK968_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:92979	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.8506126404 N 122.2617187500 W	CAS:ORN:92979	J. P. Dumbacher	
SRR6032917	WGS	300	575738100	PRJNA406821	SAMN07637318	Model organism or animal	346154154	"UNIVERSITY OF CALIFORNIA, BERKELEY"	8/3/05	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182926	USA	North America	"USA: Chandler Glade\, 41.8554725647\, -122.2777786255\, 1774.0 m\, Klamath National Forest\, Siskiyou County\, California"	Illumina HiSeq 2500	not applicable	MK987_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:92980	female	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.8554725647 N 122.2777786255 W	CAS:ORN:92980	B. Woodbridge	
SRR6032918	WGS	300	967803600	PRJNA406821	SAMN07637272	Model organism or animal	580499290	"UNIVERSITY OF CALIFORNIA, BERKELEY"	7/1/11	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182925	USA	North America	"USA: Hoopa Valley Indian Reservation\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	NSO138799040_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix occidentalis caurina	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:99423	female	SRP117279	blood	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.0818624516879 N 123.7369464 W	CAS:ORN:99423	J. Mark Higley	caurina
SRR6032919	WGS	300	1006810500	PRJNA406821	SAMN07637272	Model organism or animal	598319592	"UNIVERSITY OF CALIFORNIA, BERKELEY"	7/1/11	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182924	USA	North America	"USA: Hoopa Valley Indian Reservation\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	NSO138799040_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix occidentalis caurina	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:99423	female	SRP117279	blood	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.0818624516879 N 123.7369464 W	CAS:ORN:99423	J. Mark Higley	caurina
SRR6032920	WGS	202	1315759522	PRJNA406821	SAMN07637289	Model organism or animal	725708837	"UNIVERSITY OF CALIFORNIA, BERKELEY"	12/9/12	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	missing	SRX3182923	USA	North America	"USA: 885 Bridgeway\, Sausalito\, Marin County\, California"	Illumina HiSeq 2500	not applicable	ZRH455_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix occidentalis caurina	ILLUMINA	2019-03-25T00:00:00Z	MVZ:Bird:189508	female	SRP117279	liver	"Museum of Vertebrate Zoology\, Berkeley\, California\, United States of America"	37.858063 N 122.482207 W	MVZ:Bird:189508	"WildCare Wildlife Hospital\, San Rafael\, California\, U.S.A."	caurina
SRR6032921	WGS	300	200996700	PRJNA406821	SAMN07637266	Model organism or animal	118826786	"UNIVERSITY OF CALIFORNIA, BERKELEY"	10/30/13	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182922	USA	North America	"USA: UTM zone 10\, NAD83\, 444059E 4548031N\, Territory #2062\, Hoopa Valley Indian Reservation\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	Hoopa20019_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97819	female	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.08335 N 123.66711 W	CAS:ORN:97819	J. Mark Higley	
SRR6032922	WGS	300	189274200	PRJNA406821	SAMN07637266	Model organism or animal	113534420	"UNIVERSITY OF CALIFORNIA, BERKELEY"	10/30/13	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182921	USA	North America	"USA: UTM zone 10\, NAD83\, 444059E 4548031N\, Territory #2062\, Hoopa Valley Indian Reservation\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	Hoopa20019_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97819	female	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.08335 N 123.66711 W	CAS:ORN:97819	J. Mark Higley	
SRR6032923	WGS	300	190883700	PRJNA406821	SAMN07637266	Model organism or animal	114634157	"UNIVERSITY OF CALIFORNIA, BERKELEY"	10/30/13	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182920	USA	North America	"USA: UTM zone 10\, NAD83\, 444059E 4548031N\, Territory #2062\, Hoopa Valley Indian Reservation\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	Hoopa20019_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97819	female	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.08335 N 123.66711 W	CAS:ORN:97819	J. Mark Higley	
SRR6032924	WGS	300	239470800	PRJNA406821	SAMN07637265	Model organism or animal	138715736	"UNIVERSITY OF CALIFORNIA, BERKELEY"	10/30/13	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	SRX3182919	USA	North America	"USA: UTM zone 10\, NAD83\, 444059E 4548031N\, Territory #2062\, Hoopa Valley Indian Reservation\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	Hoopa20018_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97816	male	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.08335 N 123.66711 W	CAS:ORN:97816	J. Mark Higley	
SRR6032925	WGS	300	597536400	PRJNA406821	SAMN07637267	Model organism or animal	359245069	"UNIVERSITY OF CALIFORNIA, BERKELEY"	8/5/09	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	missing	SRX3182918	USA	North America	"USA: SF Bald Mountain\, Cal Barrel\, Green Diamond Resources\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	LCW405_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97201	not determined	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	40.8744341576 N 123.9010764568 W	CAS:ORN:97201	Lowell V. Diller	
SRR6032926	WGS	300	29914800	PRJNA406821	SAMN07637307	Model organism or animal	18029983	"UNIVERSITY OF CALIFORNIA, BERKELEY"	8/10/06	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	missing	SRX3182917	USA	North America	"USA: Little Shasta site\, Goosenest Ranger District\, Klamath National Forest\, Siskiyou County\, California"	Illumina HiSeq 2500	not applicable	JPD386_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97176	not determined	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.8045052778 N 122.2161275 W	CAS:ORN:97176	B. Woodbridge	
SRR6032927	WGS	300	29364000	PRJNA406821	SAMN07637307	Model organism or animal	17810430	"UNIVERSITY OF CALIFORNIA, BERKELEY"	8/10/06	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	missing	SRX3182916	USA	North America	"USA: Little Shasta site\, Goosenest Ranger District\, Klamath National Forest\, Siskiyou County\, California"	Illumina HiSeq 2500	not applicable	JPD386_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97176	not determined	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.8045052778 N 122.2161275 W	CAS:ORN:97176	B. Woodbridge	
SRR6032928	WGS	300	29557200	PRJNA406821	SAMN07637307	Model organism or animal	17983789	"UNIVERSITY OF CALIFORNIA, BERKELEY"	8/10/06	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	missing	SRX3182915	USA	North America	"USA: Little Shasta site\, Goosenest Ranger District\, Klamath National Forest\, Siskiyou County\, California"	Illumina HiSeq 2500	not applicable	JPD386_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97176	not determined	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	41.8045052778 N 122.2161275 W	CAS:ORN:97176	B. Woodbridge	
SRR6032929	WGS	300	635770800	PRJNA406821	SAMN07637267	Model organism or animal	377944531	"UNIVERSITY OF CALIFORNIA, BERKELEY"	8/5/09	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	missing	SRX3182914	USA	North America	"USA: SF Bald Mountain\, Cal Barrel\, Green Diamond Resources\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	LCW405_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97201	not determined	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	40.8744341576 N 123.9010764568 W	CAS:ORN:97201	Lowell V. Diller	
SRR6032930	WGS	300	594851400	PRJNA406821	SAMN07637267	Model organism or animal	357133019	"UNIVERSITY OF CALIFORNIA, BERKELEY"	8/5/09	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	missing	SRX3182913	USA	North America	"USA: SF Bald Mountain\, Cal Barrel\, Green Diamond Resources\, Humboldt County\, California"	Illumina HiSeq 2500	not applicable	LCW405_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97201	not determined	SRP117279	liver	"Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America"	40.8744341576 N 123.9010764568 W	CAS:ORN:97201	Lowell V. Diller	
