BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	Ecotype	lat_lon
PRJNA387728	SRR5620470	WGS	202	5790865906	SAMN07162972	3664070853	UNIVERSITY OF BRITISH COLUMBIA	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2864009	Illumina HiSeq 2000	West_Creek_Marine	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-26T00:00:00Z	West Creek Marine	SRP108037	Model organism or animal	female	fin	Adult	marine	49.191545 N 122.6557 W
PRJNA387728	SRR5620471	WGS	202	2187217822	SAMN07162967	1427271458	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2864008	Illumina HiSeq 2000	Bamfield	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-26T00:00:00Z	Bamfield	SRP108037	Model organism or animal	female	fin	Adult	marine	48.824876 N 125.1363 W
PRJNA387728	SRR5620472	WGS	200	3949058000	SAMN07162968	2675853719	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2864007	Illumina HiSeq 2000	Little_Campbell_River	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-26T00:00:00Z	Little Campbell River	SRP108037	Model organism or animal	female	fin	Adult	marine	49.014982 N 122.7725 W
PRJNA387728	SRR5620473	WGS	202	3029458640	SAMN07162969	1951384954	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2864006	Illumina HiSeq 2000	Oyster_Bay	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-26T00:00:00Z	Oyster Bay	SRP108037	Model organism or animal	female	fin	Adult	marine	49.612097 N 124.0600 W
PRJNA387728	SRR5620474	WGS	202	983360240	SAMN07162970	625806900	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2864005	Illumina HiSeq 2000	Salmon_River	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-26T00:00:00Z	Salmon River	SRP108037	Model organism or animal	female	fin	Adult	marine	49.175163 N 122.5943 W
PRJNA387728	SRR5620814	WGS	200	7050189800	SAMN07162957	4716587355	UNIVERSITY OF BRITISH COLUMBIA	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2864351	Illumina HiSeq 2000	Kirk	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-26T00:00:00Z	Kirk	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	49.739441 N 124.5863 W
PRJNA387728	SRR5621259	WGS	202	11676088436	SAMN07162955	8263667660	UNIVERSITY OF BRITISH COLUMBIA	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2864796	Illumina HiSeq 2000	Cranby	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-26T00:00:00Z	Cranby	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	49.696084 N 124.5065 W
PRJNA387728	SRR5621260	WGS	202	5985428468	SAMN07162954	4252848328	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2864795	Illumina HiSeq 2000	Cedar	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-26T00:00:00Z	Cedar	SRP108037	Model organism or animal	male	fin	Adult	sculpin lake	50.204813 N 125.5657 W
PRJNA387728	SRR5605156	WGS	200	6322401800	SAMN07162953	4281697000	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2857748	Illumina HiSeq 2000	Bullock	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-25T00:00:00Z	Bullock	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	48.874112 N 123.5090 W
PRJNA387728	SRR5605157	WGS	129	45563900	SAMN07162952	35731329	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2857747	Illumina HiSeq 2000	Brown	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-25T00:00:00Z	Brown	SRP108037	Model organism or animal	female	fin	Adult	sculpin lake	49.741765 N 123.9151 W
PRJNA387728	SRR5605158	WGS	201	984140162	SAMN07162951	719495777	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2857746	Illumina HiSeq 2000	Black	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-25T00:00:00Z	Black	SRP108037	Model organism or animal	male	fin	Adult	no sculpin lake	48.773234 N 125.0966 W
PRJNA387728	SRR5605159	WGS	202	7466212698	SAMN07162950	4695515059	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2857745	Illumina HiSeq 2000	Ambrose	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-25T00:00:00Z	Ambrose	SRP108037	Model organism or animal	female	fin	Adult	sculpin lake	49.733195 N 124.0244 W
PRJNA387728	SRR5605284	WGS	202	6028379728	SAMN07162956	4284381873	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2857875	Illumina HiSeq 2000	Hoggan	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-25T00:00:00Z	Hoggan	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	49.152667 N 123.8282 W
PRJNA387728	SRR5605285	WGS	200	7050189800	SAMN07162957	4716720445	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2857874	Illumina HiSeq 2000	Kirk	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-25T00:00:00Z	Kirk	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	49.739441 N 124.5863 W
PRJNA387728	SRR5605286	WGS	109	144078802	SAMN07162954	126062247	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2857873	Illumina HiSeq 2000	Cedar	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-06-02T00:00:00Z	Cedar	SRP108037	Model organism or animal	male	fin	Adult	sculpin lake	50.204813 N 125.5657 W
PRJNA387728	SRR5605287	WGS	202	11676088436	SAMN07162955	8265652108	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2857872	Illumina HiSeq 2000	Cranby	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-25T00:00:00Z	Cranby	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	49.696084 N 124.5065 W
PRJNA387728	SRR5605288	WGS	200	5787283000	SAMN07162958	3929468117	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2857871	Illumina HiSeq 2000	Klein	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-25T00:00:00Z	Klein	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	49.730087 N 123.9686 W
PRJNA387728	SRR5605605	WGS	202	5790865906	SAMN07162972	3664053954	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2858147	Illumina HiSeq 2000	West_Creek_Marine	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-25T00:00:00Z	West Creek Marine	SRP108037	Model organism or animal	female	fin	Adult	marine	49.191545 N 122.6557 W
PRJNA387728	SRR5605606	WGS	197	169424369	SAMN07162971	123744326	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2858146	Illumina HiSeq 2000	Seyward_Estuary	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-06-02T00:00:00Z	Seyward Estuary	SRP108037	Model organism or animal	female	fin	Adult	marine	50.373634 N 125.9295 W
PRJNA387728	SRR5605607	WGS	202	6520776140	SAMN07162966	4640359608	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2858145	Illumina HiSeq 2000	Trout	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-25T00:00:00Z	Trout	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	49.50843 N 123.8761 W
PRJNA387728	SRR5605608	WGS	104	1726704260	SAMN07162965	1269459711	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2858144	Illumina HiSeq 2000	Tom	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-06-02T00:00:00Z	Tom	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	50.256375 N 124.9233 W
PRJNA387728	SRR5605609	WGS	185	66757329	SAMN07162970	48734087	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2858143	Illumina HiSeq 2000	Salmon_River	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-06-02T00:00:00Z	Salmon River	SRP108037	Model organism or animal	female	fin	Adult	marine	49.175163 N 122.5943 W
PRJNA387728	SRR5629167	WGS	202	5006348406	SAMN07162964	3535082507	UNIVERSITY OF BRITISH COLUMBIA	public	sra	ncbi,gs,s3	gs.US,s3.us-east-1,ncbi.public	SRX2869652	Illumina HiSeq 2000	Stowell	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-30T00:00:00Z	Stowell	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	48.781861 N 123.4441 W
PRJNA387728	SRR5620815	WGS	202	6028379728	SAMN07162956	4284381873	UNIVERSITY OF BRITISH COLUMBIA	public	sra	s3,gs,ncbi	ncbi.public,gs.US,s3.us-east-1	SRX2864350	Illumina HiSeq 2000	Hoggan	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-26T00:00:00Z	Hoggan	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	49.152667 N 123.8282 W
PRJNA387728	SRR5629275	WGS	206	3399770248	SAMN07162965	2282333754	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2869735	Illumina HiSeq 2000	Tom	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-06-02T00:00:00Z	Tom	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	50.256375 N 124.9233 W
PRJNA387728	SRR5605610	WGS	202	5006348406	SAMN07162964	3535801727	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2858142	Illumina HiSeq 2000	Stowell	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-25T00:00:00Z	Stowell	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	48.781861 N 123.4441 W
PRJNA387728	SRR5629696	WGS	205	4304270050	SAMN07162971	2919941904	UNIVERSITY OF BRITISH COLUMBIA	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2869973	Illumina HiSeq 2000	Seyward_Estuary	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-06-02T00:00:00Z	Seyward Estuary	SRP108037	Model organism or animal	female	fin	Adult	marine	50.373634 N 125.9295 W
PRJNA387728	SRR5629434	WGS	202	3029458640	SAMN07162969	1951384954	UNIVERSITY OF BRITISH COLUMBIA	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2869804	Illumina HiSeq 2000	Oyster_Bay	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-30T00:00:00Z	Oyster Bay	SRP108037	Model organism or animal	female	fin	Adult	marine	49.612097 N 124.0600 W
PRJNA387728	SRR5629277	WGS	202	6520776140	SAMN07162966	4641377391	UNIVERSITY OF BRITISH COLUMBIA	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2869733	Illumina HiSeq 2000	Trout	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-30T00:00:00Z	Trout	SRP108037	Model organism or animal	female	fin	Adult	no sculpin lake	49.50843 N 123.8761 W
PRJNA387728	SRR5629695	WGS	202	5790865906	SAMN07162972	3664070853	UNIVERSITY OF BRITISH COLUMBIA	public	sra	gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1	SRX2869974	Illumina HiSeq 2000	West_Creek_Marine	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-30T00:00:00Z	West Creek Marine	SRP108037	Model organism or animal	female	fin	Adult	marine	49.191545 N 122.6557 W
PRJNA387728	SRR5628156	WGS	200	6512153000	SAMN07162960	4409949592	UNIVERSITY OF BRITISH COLUMBIA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2868678	Illumina HiSeq 2000	Ormond	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-30T00:00:00Z	Ormond	SRP108037	Model organism or animal	female	fin	Adult	sculpin lake	50.180256 N 125.5258 W
PRJNA387728	SRR5629436	WGS	202	2187217822	SAMN07162967	1427454604	UNIVERSITY OF BRITISH COLUMBIA	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2869802	Illumina HiSeq 2000	Bamfield	PAIRED	size fractionation	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-30T00:00:00Z	Bamfield	SRP108037	Model organism or animal	female	fin	Adult	marine	48.824876 N 125.1363 W
