Run	Alias	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Description	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	Experiment	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	Sample_name	sex	SRA_accession	SRA Study	Title
ERR117216	PIED_12	OTHER	300	9599167800	PRJEB2984	SAMEA1570906	6438274666	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093530	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-09T09:57:20Z	public	Illumina Genome Analyzer IIx	PIED_12_PE-550	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570906	ERS129504	male	ERS129504	ERP001377	PIED_12
ERR117217	PIED_13	OTHER	300	10274487000	PRJEB2984	SAMEA1570866	6945215541	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093531	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-09T09:57:21Z	public	Illumina Genome Analyzer IIx	PIED_13_PE-550	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570866	ERS129505	male	ERS129505	ERP001377	PIED_13
ERR117218	PIED_14	OTHER	300	7540406400	PRJEB2984	SAMEA1570905	4934603849	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093532	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-09T09:57:21Z	public	Illumina Genome Analyzer IIx	PIED_14_PE-550	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570905	ERS129506	male	ERS129506	ERP001377	PIED_14
ERR117219	PIED_15	OTHER	300	8827582500	PRJEB2984	SAMEA1570873	5950505821	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093533	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-09T09:57:21Z	public	Illumina Genome Analyzer IIx	PIED_15_PE-550	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-29T00:00:00Z	SAMEA1570873	ERS129507	male	ERS129507	ERP001377	PIED_15
ERR117220	PIED_41	OTHER	280	5065967760	PRJEB2984	SAMEA1570896	3307413157	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093534	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-09T09:57:21Z	public	Illumina Genome Analyzer IIx	PIED_41_PE-550	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-29T00:00:00Z	SAMEA1570896	ERS129508	male	ERS129508	ERP001377	PIED_41
ERR117221	PIED_42	OTHER	280	4883941160	PRJEB2984	SAMEA1570890	3197839443	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093535	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-09T09:57:21Z	public	Illumina Genome Analyzer IIx	PIED_42_PE-550	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570890	ERS129509	male	ERS129509	ERP001377	PIED_42
ERR168682	COLL_E2	OTHER	202	580490026	PRJEB2984	SAMEA1570894	281891950	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	embryo	2012-11-29	2018-11-16	ERX144565	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:47Z	2018-03-08T15:56:23Z	public	Illumina Genome Analyzer IIx	COLL_E2_embryo-150	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570894	ERS169252	female	ERS169252	ERP001377	COLL_E2
ERR168697	PIED_13	OTHER	200	649299400	PRJEB2984	SAMEA1570866	387601309	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144580	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-09T09:57:21Z	public	Illumina Genome Analyzer IIx	PIED_13_testis-150	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570866	ERS129505	male	ERS129505	ERP001377	PIED_13
ERR168700	COLL_8	OTHER	200	615691600	PRJEB2984	SAMEA1570877	366520720	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144583	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:47Z	2018-03-08T15:56:23Z	public	Illumina Genome Analyzer IIx	COLL_8_ovary-150	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570877	ERS169249	female	ERS169249	ERP001377	COLL_8
ERR168705	PIED_18	OTHER	200	569961400	PRJEB2984	SAMEA1570887	338968587	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144588	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:47Z	2018-03-09T10:01:36Z	public	Illumina Genome Analyzer IIx	PIED_18_ovary-150	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570887	ERS169262	female	ERS169262	ERP001377	PIED_18
ERR168707	COLL_2	OTHER	200	375119600	PRJEB2984	SAMEA1570884	217119980	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144590	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina Genome Analyzer IIx	COLL_2_brain-150	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570884	ERS129494	male	ERS129494	ERP001377	COLL_2
ERR168713	COLL_8	OTHER	200	410108600	PRJEB2984	SAMEA1570877	236876256	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144596	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:47Z	2018-03-08T15:56:23Z	public	Illumina Genome Analyzer IIx	COLL_8_brain-150	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570877	ERS169249	female	ERS169249	ERP001377	COLL_8
ERR168718	PIED_13	OTHER	200	471045000	PRJEB2984	SAMEA1570866	269590312	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144601	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-09T09:57:21Z	public	Illumina Genome Analyzer IIx	PIED_13_brain-150	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570866	ERS129505	male	ERS129505	ERP001377	PIED_13
ERR168721	PIED_16	OTHER	200	452151200	PRJEB2984	SAMEA1570883	261126116	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144604	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:47Z	2018-03-09T10:01:36Z	public	Illumina Genome Analyzer IIx	PIED_16_brain-150	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570883	ERS169260	female	ERS169260	ERP001377	PIED_16
ERR168723	PIED_18	OTHER	200	416695200	PRJEB2984	SAMEA1570887	238872520	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144606	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:47Z	2018-03-09T10:01:36Z	public	Illumina Genome Analyzer IIx	PIED_18_brain-150	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570887	ERS169262	female	ERS169262	ERP001377	PIED_18
ERR168727	COLL_2	OTHER	200	450901000	PRJEB2984	SAMEA1570884	257342121	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144610	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina Genome Analyzer IIx	COLL_2_liver-150	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570884	ERS129494	male	ERS129494	ERP001377	COLL_2
ERR168733	COLL_8	OTHER	200	424273800	PRJEB2984	SAMEA1570877	241914133	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144616	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:47Z	2018-03-08T15:56:23Z	public	Illumina Genome Analyzer IIx	COLL_8_liver-150	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570877	ERS169249	female	ERS169249	ERP001377	COLL_8
ERR168752	PIED_E23	OTHER	200	622958400	PRJEB2984	SAMEA1570885	357699794	UU-EBC	public	sra,fastq	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	embryo	2012-11-29	2018-11-16	ERX144635	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:47Z	2018-03-09T10:01:36Z	public	Illumina Genome Analyzer IIx	PIED_E23_embryo-150	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570885	ERS169271	female	ERS169271	ERP001377	PIED_E23
ERR168755	COLL_2	OTHER	200	375769800	PRJEB2984	SAMEA1570884	235664543	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144638	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina HiSeq 2000	COLL_2_kidney-200	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570884	ERS129494	male	ERS129494	ERP001377	COLL_2
ERR168757	COLL_4	OTHER	200	1197150000	PRJEB2984	SAMEA1570907	751496796	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144640	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina HiSeq 2000	COLL_4_kidney-200	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570907	ERS129496	male	ERS129496	ERP001377	COLL_4
ERR168759	COLL_6	OTHER	200	898167400	PRJEB2984	SAMEA1570872	564851477	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144642	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:47Z	2018-03-08T15:56:23Z	public	Illumina HiSeq 2000	COLL_6_kidney-200	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570872	ERS169247	female	ERS169247	ERP001377	COLL_6
ERR168763	COLL_10	OTHER	200	1051196200	PRJEB2984	SAMEA1570874	659700607	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144646	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:47Z	2018-03-08T15:56:23Z	public	Illumina HiSeq 2000	COLL_10_kidney-200	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570874	ERS169251	female	ERS169251	ERP001377	COLL_10
ERR168767	COLL_4	OTHER	200	744639800	PRJEB2984	SAMEA1570907	465380909	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144650	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina HiSeq 2000	COLL_4_muscle-200	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570907	ERS129496	male	ERS129496	ERP001377	COLL_4
ERR168785	COLL_8	OTHER	200	836230200	PRJEB2984	SAMEA1570877	529508400	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144668	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:47Z	2018-03-08T15:56:23Z	public	Illumina HiSeq 2000	COLL_8_skin-200	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570877	ERS169249	female	ERS169249	ERP001377	COLL_8
ERR168798	PIED_17	OTHER	200	91044200	PRJEB2984	SAMEA1570865	56518295	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144681	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:47Z	2018-03-09T10:01:36Z	public	Illumina HiSeq 2000	PIED_17_skin-200	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570865	ERS169261	female	ERS169261	ERP001377	PIED_17
ERR168818	PIED_15	OTHER	200	1025072400	PRJEB2984	SAMEA1570873	648302749	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144701	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-09T09:57:21Z	public	Illumina HiSeq 2000	PIED_15_lung-200	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570873	ERS129507	male	ERS129507	ERP001377	PIED_15
ERR168825	PIED_19	OTHER	200	762184000	PRJEB2984	SAMEA1570867	481022508	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144708	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:47Z	2018-03-09T10:01:36Z	public	Illumina HiSeq 2000	PIED_19_ovary-200	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570867	ERS169263	female	ERS169263	ERP001377	PIED_19
ERR168838	COLL_2	OTHER	200	428040800	PRJEB2984	SAMEA1570884	258197519	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144721	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina HiSeq 2000	COLL_2_kidney-200	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570884	ERS129494	male	ERS129494	ERP001377	COLL_2
ERR168842	COLL_5	OTHER	200	1090870600	PRJEB2984	SAMEA1570881	656560126	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144725	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina HiSeq 2000	COLL_5_liver-200	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570881	ERS129497	male	ERS129497	ERP001377	COLL_5
ERR168846	COLL_10	OTHER	200	1147403800	PRJEB2984	SAMEA1570874	698809037	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144729	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:47Z	2018-03-08T15:56:23Z	public	Illumina HiSeq 2000	COLL_10_ovary-200	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570874	ERS169251	female	ERS169251	ERP001377	COLL_10
ERR168847	PIED_20	OTHER	200	1255583200	PRJEB2984	SAMEA1570909	751652501	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX144730	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:47Z	2018-03-09T10:01:36Z	public	Illumina HiSeq 2000	PIED_20_skin-200	PAIRED	unspecified	TRANSCRIPTOMIC	Ficedula_hypoleuca	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570909	ERS169264	female	ERS169264	ERP001377	PIED_20
ERR117164	COLL_2	OTHER	70	2496038160	PRJEB2984	SAMEA1570884	2047870552	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093478	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina Genome Analyzer IIx	COLL_2_PE-2400	PAIRED	unspecified	GENOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570884	ERS129494	male	ERS129494	ERP001377	COLL_2
ERR117170	COLL_2	OTHER	218	5500389392	PRJEB2984	SAMEA1570884	3726775973	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093484	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina Genome Analyzer IIx	COLL_2_PE-388	PAIRED	unspecified	GENOMIC	Ficedula_albicollis	ILLUMINA	2012-11-29T00:00:00Z	SAMEA1570884	ERS129494	male	ERS129494	ERP001377	COLL_2
ERR117172	COLL_2	OTHER	218	6138416314	PRJEB2984	SAMEA1570884	4190471111	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093486	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina Genome Analyzer IIx	COLL_2_PE-388	PAIRED	unspecified	GENOMIC	Ficedula_albicollis	ILLUMINA	2012-11-30T00:00:00Z	SAMEA1570884	ERS129494	male	ERS129494	ERP001377	COLL_2
ERR117177	COLL_2	OTHER	70	2657439050	PRJEB2984	SAMEA1570884	2226986385	UU-EBC	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	adult	2012-11-29	2018-11-16	ERX093491	UU-EBC	Evolutionary Biology Center\, Uppsala University	2012-11-29T17:01:43Z	2018-03-08T15:45:54Z	public	Illumina Genome Analyzer IIx	COLL_2_PE-4100	PAIRED	unspecified	GENOMIC	Ficedula_albicollis	ILLUMINA	2012-11-29T00:00:00Z	SAMEA1570884	ERS129494	male	ERS129494	ERP001377	COLL_2
