BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Isolation_source	Sample_Name	Strain	biotic_relationship	flowcell_barcode (run)	geographic_location_(country_and/or_sea	instrument_name (run)	lane (run)	material_type (exp)	project (exp)	project (run)	run_barcode (run)	run_name (run)	work_request (exp)	work_request (run)	analysis_type (exp)	ArrayExpress-Phenotype	gssr_ids (exp)
PRJNA60363	SRR077269	WGS	152	8421084240	SAMN00139641	1835588807	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033037	Illumina HiSeq 2000	Solexa-42045	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	AssemblyWithReference	2094JABXX	missing	SL-HAK	1	Voucher	G5041	G5041	2094JABXX100903	100903_SL-HAK_0230_AFC2094JABXX	23486	23486	AssemblyWithReference	71253.1, 71253.2, 71253.3, 71253.4	71253.1, 71253.2, 71253.3, 71253.4
PRJNA60363	SRR077270	WGS	202	19415864886	SAMN00139641	11493217303	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033038	Illumina HiSeq 2000	Solexa-35078	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	WGSNoRef	207HWABXX	missing	SL-HAF	8	Voucher	G5041	G5041	207HWABXX100722	100722_SL-HAF_0085_BFC207HWABXX	22404	22404	WGSNoRef	NA	NA
PRJNA60363	SRR077271	WGS	72	6215522832	SAMN00139641	3252579366	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033036	Illumina HiSeq 2000	Solexa-32987	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	WGSNoRef	202PAABXX	missing	SL-HAC	6	Voucher	G5041	G5041	202PAABXX100623	100623_SL-HAC_0225_AFC202PAABXX	22317	22317	WGSNoRef	29238.10, 29238.11	29238.10, 29238.11
PRJNA60363	SRR077273	WGS	152	8464192200	SAMN00139641	2338767783	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033039	Illumina HiSeq 2000	Solexa-42048	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	AssemblyWithReference	2094JABXX	missing	SL-HAK	7	Voucher	G5041	G5041	2094JABXX100903	100903_SL-HAK_0230_AFC2094JABXX	23486	23486	AssemblyWithReference	71253.11, 71253.12, 71253.17, 71253.18	71253.11, 71253.12, 71253.17, 71253.18
PRJNA60363	SRR077274	WGS	202	13536242604	SAMN00139641	7839229341	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033040	Illumina HiSeq 2000	Solexa-42103	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	WGSNoRef	8018VABXX	missing	SL-HAF	8	Voucher	G5041	G5041	8018VABXX100916	100916_SL-HAF_0097_BFC8018VABXX	22317	22317	WGSNoRef	29238.10, 29238.11	29238.10, 29238.11
PRJNA60363	SRR077276	WGS	202	16218180848	SAMN00139641	9220828054	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033041	Illumina HiSeq 2000	Solexa-42102	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	WGSNoRef	801KYABXX	missing	SL-HAV	1	Voucher	G5041	G5041	801KYABXX100916	100916_SL-HAV_0068_BFC801KYABXX	22317	22317	WGSNoRef	29238.10, 29238.11	29238.10, 29238.11
PRJNA60363	SRR077277	WGS	88	9968707496	SAMN00139641	5737439994	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033042	Illumina HiSeq 2000	Solexa-42102	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	WGSNoRef	20968ABXX	missing	SL-HAF	3	Voucher	G5041	G5041	20968ABXX100905	100905_SL-HAF_0094_AFC20968ABXX	22317	22317	WGSNoRef	29238.10, 29238.11	29238.10, 29238.11
PRJNA60363	SRR077278	WGS	202	19236368696	SAMN00139641	11485322994	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033038	Illumina HiSeq 2000	Solexa-35078	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	WGSNoRef	207HWABXX	missing	SL-HAF	5	Voucher	G5041	G5041	207HWABXX100722	100722_SL-HAF_0085_BFC207HWABXX	22404	22404	WGSNoRef	NA	NA
PRJNA60363	SRR077279	WGS	202	19280698808	SAMN00139641	11645758640	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033038	Illumina HiSeq 2000	Solexa-35078	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	WGSNoRef	207HWABXX	missing	SL-HAF	6	Voucher	G5041	G5041	207HWABXX100722	100722_SL-HAF_0085_BFC207HWABXX	22404	22404	WGSNoRef	NA	NA
PRJNA60363	SRR077280	WGS	202	18546169642	SAMN00139641	10893518838	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033043	Illumina HiSeq 2000	Solexa-46546	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	AssemblyWithReference	80N8HABXX	missing	SL-HAA	2	Voucher	G5041	G5041	80N8HABXX101109	101109_SL-HAA_0206_AFC80N8HABXX	23979	23979	AssemblyWithReference	29238.16, 29238.17	29238.16, 29238.17
PRJNA60363	SRR077281	WGS	88	7669931016	SAMN00139641	4288303760	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033034	Illumina HiSeq 2000	Solexa-42103	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	WGSNoRef	20968ABXX	missing	SL-HAF	5	Voucher	G5041	G5041	20968ABXX100905	100905_SL-HAF_0094_AFC20968ABXX	22317	22317	WGSNoRef	29238.10, 29238.11	29238.10, 29238.11
PRJNA60363	SRR077282	WGS	202	16969720434	SAMN00139641	10018973261	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033044	Illumina HiSeq 2000	Solexa-46544	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	AssemblyWithReference	80N8HABXX	missing	SL-HAA	4	Voucher	G5041	G5041	80N8HABXX101109	101109_SL-HAA_0206_AFC80N8HABXX	23979	23979	AssemblyWithReference	29238.16, 29238.17	29238.16, 29238.17
PRJNA60363	SRR077283	WGS	202	18932647152	SAMN00139641	11082114031	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033038	Illumina HiSeq 2000	Solexa-35078	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	WGSNoRef	207HWABXX	missing	SL-HAF	7	Voucher	G5041	G5041	207HWABXX100722	100722_SL-HAF_0085_BFC207HWABXX	22404	22404	WGSNoRef	NA	NA
PRJNA60363	SRR077284	WGS	152	7502888112	SAMN00139641	1412659203	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033039	Illumina HiSeq 2000	Solexa-42048	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	AssemblyWithReference	2094JABXX	missing	SL-HAK	3	Voucher	G5041	G5041	2094JABXX100903	100903_SL-HAK_0230_AFC2094JABXX	23486	23486	AssemblyWithReference	71253.11, 71253.12, 71253.17, 71253.18	71253.11, 71253.12, 71253.17, 71253.18
PRJNA60363	SRR157494	WGS	202	14497478390	SAMN00139641	4152239253	BI	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX001071	Illumina HiSeq 2000	Solexa-56260	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2011-03-31T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	NA	B016AABXX	missing	SL-HBM	5	Voucher	G5041	G5041	B016AABXX110201	110201_SL-HBM_0079_AFCB016AABXX	23486	23486	NA	71253.1, 71253.2, 71253.3, 71253.4	71253.1, 71253.2, 71253.3, 71253.4
PRJNA60363	SRR157495	WGS	202	14825649206	SAMN00139641	4884643534	BI	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX000950	Illumina HiSeq 2000	Solexa-56264	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2011-03-31T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	NA	B016AABXX	missing	SL-HBM	8	Voucher	G5041	G5041	B016AABXX110201	110201_SL-HBM_0079_AFCB016AABXX	23486	23486	NA	71253.19, 71253.20, 71253.22, 71253.23	71253.19, 71253.20, 71253.22, 71253.23
PRJNA60363	SRR157497	WGS	202	14379953780	SAMN00139641	5531181143	BI	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX001819	Illumina HiSeq 2000	Solexa-56278	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2011-03-31T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	NA	B016AABXX	missing	SL-HBM	6	Voucher	G5041	G5041	B016AABXX110201	110201_SL-HBM_0079_AFCB016AABXX	23486	23486	NA	71253.10, 71253.6, 71253.7, 71253.8	71253.10, 71253.6, 71253.7, 71253.8
PRJNA60363	SRR077275	WGS	72	4846073616	SAMN00139641	2427994958	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX033031	Illumina HiSeq 2000	Solexa-32988	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	WGSNoRef	202PAABXX	missing	SL-HAC	7	Voucher	G5041	G5041	202PAABXX100623	100623_SL-HAC_0225_AFC202PAABXX	22317	22317	WGSNoRef	29238.10, 29238.11	29238.10, 29238.11
PRJNA60363	SRR077272	WGS	152	8973328664	SAMN00139641	2213598100	BI	public	srf,sra	gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1	SRX033035	Illumina HiSeq 2000	Solexa-42049	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2010-12-09T00:00:00Z	PRJNA167910.A. burtoni ID#24_Hofmann	SRP004787	missing	missing	A. burtoni ID#24_Hofmann	missing	AssemblyWithReference	2094JABXX	missing	SL-HAK	5	Voucher	G5041	G5041	2094JABXX100903	100903_SL-HAK_0230_AFC2094JABXX	23486	23486	AssemblyWithReference	71253.19, 71253.20, 71253.22, 71253.23	71253.19, 71253.20, 71253.22, 71253.23
