BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	AGE	Ecotype	Biomaterial_provider	Collection_date	Isolation_source	Sample_Name	Strain	biotic_relationship	Replicate	flowcell_barcode (run)	geographic_location_(country_and/or_sea	instrument_name (run)	lane (run)	material_type (exp)	project (exp)	project (run)	run_barcode (run)	run_name (run)	work_request (exp)	work_request (run)	analysis_type (exp)	ArrayExpress-Phenotype	gssr_ids (exp)	use_species
PRJNA485198	SRR7662372	WGS	301	16716673262	SAMN09786107	6944320713	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523135	Illumina HiSeq 3000	LKH9	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKH9	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Kalambo_River_1_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662373	WGS	301	16917034146	SAMN09786106	7098818217	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523134	Illumina HiSeq 3000	LKH8	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKH8	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Kalambo_River_1_9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662374	WGS	300	20816293338	SAMN09786105	9072507269	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523133	Illumina HiSeq 3000	LKH6	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKH6	SRP156808	Model organism or animal	female	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Kalambo_River_1_8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662375	WGS	301	20606798448	SAMN09786104	8621924178	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523132	Illumina HiSeq 3000	LKH5	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKH5	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Kalambo_River_1_7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662376	WGS	302	20825521360	SAMN09786111	9791217213	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523131	Illumina HiSeq 3000	MJI8	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MJI8	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	NA	NA	NA	NA	Kalambo_Lake_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662377	WGS	302	13704139692	SAMN09786110	6499395696	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523130	Illumina HiSeq 3000	MJI7	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MJI7	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	NA	NA	NA	NA	Kalambo_Lake_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662378	WGS	301	16312588324	SAMN09786109	6790050387	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523129	Illumina HiSeq 3000	LKI2	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKI2	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Kalambo_River_1_12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662379	WGS	301	16797181118	SAMN09786108	6981770552	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523128	Illumina HiSeq 3000	LKI1	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKI1	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Kalambo_River_1_11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662380	WGS	302	15945226728	SAMN09786113	7902491310	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523127	Illumina HiSeq 3000	MKA4	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKA4	SRP156808	Model organism or animal	female	fin	adult	missing	Kalambo Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	NA	NA	NA	NA	Kalambo_Lake_4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662392	WGS	301	16598906692	SAMN09786077	7227334657	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523115	Illumina HiSeq 3000	LKF6	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKF6	SRP156808	Model organism or animal	female	fin	adult	missing	Chitili Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Chitili_Lake_4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662393	WGS	301	17960106396	SAMN09786076	7605382296	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523114	Illumina HiSeq 3000	LKF5	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKF5	SRP156808	Model organism or animal	female	fin	adult	missing	Chitili Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Chitili_Lake_3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662394	WGS	302	16960889270	SAMN09786125	7980528103	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523113	Illumina HiSeq 3000	MKC4	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKC4	SRP156808	Model organism or animal	female	fin	adult	missing	Kalambo River 2	Salzburger Lab\, University of Basel\, Switzerland	2015-08	NA	NA	NA	NA	Kalambo_River_2_4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662395	WGS	301	17124257259	SAMN09786075	7332039332	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523112	Illumina HiSeq 3000	LKF4	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKF4	SRP156808	Model organism or animal	female	fin	adult	missing	Chitili Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Chitili_Lake_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662405	WGS	301	18323964077	SAMN09786080	7796175920	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523102	Illumina HiSeq 3000	LKF9	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKF9	SRP156808	Model organism or animal	male	fin	adult	missing	Chitili Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Chitili_Lake_7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662406	WGS	301	16882580407	SAMN09786079	7133889697	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523101	Illumina HiSeq 3000	LKF8	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKF8	SRP156808	Model organism or animal	male	fin	adult	missing	Chitili Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Chitili_Lake_6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662407	WGS	301	17198237667	SAMN09786078	7307253051	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523100	Illumina HiSeq 3000	LKF7	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKF7	SRP156808	Model organism or animal	female	fin	adult	missing	Chitili Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Chitili_Lake_5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662408	WGS	302	18366698364	SAMN09786174	8582885783	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523099	Illumina HiSeq 3000	MKE6	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKE6	SRP156808	Model organism or animal	female	fin	adult	missing	Lunzua Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	NA	NA	NA	NA	Lunzua_Lake_5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662409	WGS	302	17327272348	SAMN09786175	8167914626	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523098	Illumina HiSeq 3000	MKE8	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKE8	SRP156808	Model organism or animal	male	fin	adult	missing	Lunzua Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	NA	NA	NA	NA	Lunzua_Lake_6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662410	WGS	302	18745078694	SAMN09786176	8770309356	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523097	Illumina HiSeq 3000	MKE9	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKE9	SRP156808	Model organism or animal	male	fin	adult	missing	Lunzua Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	NA	NA	NA	NA	Lunzua_Lake_7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662411	WGS	302	21183216200	SAMN09786177	10524683313	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523096	Illumina HiSeq 3000	MKF2	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKF2	SRP156808	Model organism or animal	female	fin	adult	missing	Lunzua Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	NA	NA	NA	NA	Lunzua_Lake_8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662412	WGS	302	18055899896	SAMN09786178	8456924997	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523095	Illumina HiSeq 3000	MKF3	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKF3	SRP156808	Model organism or animal	male	fin	adult	missing	Lunzua Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	NA	NA	NA	NA	Lunzua_Lake_9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662413	WGS	302	19166629622	SAMN09786179	9039748693	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523094	Illumina HiSeq 3000	MKF5	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKF5	SRP156808	Model organism or animal	female	fin	adult	missing	Lunzua Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	NA	NA	NA	NA	Lunzua_Lake_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662414	WGS	302	16563232582	SAMN09786180	7830245409	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523093	Illumina HiSeq 3000	MKF7	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKF7	SRP156808	Model organism or animal	female	fin	adult	missing	Lunzua Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	NA	NA	NA	NA	Lunzua_Lake_11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662415	WGS	302	20079493176	SAMN09786181	9440345800	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523092	Illumina HiSeq 3000	MKF8	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MKF8	SRP156808	Model organism or animal	female	fin	adult	missing	Lunzua Lake	Salzburger Lab\, University of Basel\, Switzerland	2015-08	NA	NA	NA	NA	Lunzua_Lake_12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662418	WGS	300	12245640611	SAMN09786102	5159120011	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523089	Illumina HiSeq 3000	LKH3	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKH3	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Kalambo_River_1_5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662419	WGS	301	19179858097	SAMN09786103	8052581739	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523088	Illumina HiSeq 3000	LKH4	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKH4	SRP156808	Model organism or animal	female	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Kalambo_River_1_6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662420	WGS	301	18642411530	SAMN09786098	8030729369	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523087	Illumina HiSeq 3000	LKG8	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKG8	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Kalambo_River_1_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662422	WGS	301	10839485385	SAMN09786100	4628200411	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523085	Illumina HiSeq 3000	LKH1	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKH1	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Kalambo_River_1_3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662423	WGS	301	24726972298	SAMN09786101	10260381048	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523084	Illumina HiSeq 3000	LKH2	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	LKH2	SRP156808	Model organism or animal	male	fin	adult	missing	Kalambo River 1	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Kalambo_River_1_4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662424	WGS	301	20360873448	SAMN09786094	8396258024	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523083	Illumina HiSeq 3000	MNG8	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MNG8	SRP156808	Model organism or animal	female	fin	adult	missing	Chitili Creek	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Chitili_Creek_9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662425	WGS	301	17932164961	SAMN09786095	7380552105	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523082	Illumina HiSeq 3000	MNG9	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MNG9	SRP156808	Model organism or animal	female	fin	adult	missing	Chitili Creek	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Chitili_Creek_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662426	WGS	301	16831985971	SAMN09786096	6925399947	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523081	Illumina HiSeq 3000	MNH2	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MNH2	SRP156808	Model organism or animal	male	fin	adult	missing	Chitili Creek	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Chitili_Creek_11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA485198	SRR7662427	WGS	300	16943934302	SAMN09786097	6911603061	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4523080	Illumina HiSeq 3000	MNH3	PAIRED	RANDOM	GENOMIC	Haplochromis_burtoni	ILLUMINA	2018-08-09T00:00:00Z	MNH3	SRP156808	Model organism or animal	female	fin	adult	missing	Chitili Creek	Salzburger Lab\, University of Basel\, Switzerland	2015-12	NA	NA	NA	NA	Chitili_Creek_12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
