BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Isolate	Ecotype	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	lat_lon	Sample_Name	Breed	project_name	isol_growth_condt	estimated_size	num_replicons	ploidy	env_biome	env_feature	env_material
PRJDB5056	DRR066608	WGS	202	1532687928	SAMD00056797	1157059501	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060571	Illumina HiSeq 2000	library_SAMD00056797	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056797	DRP004357	MIGS.eu	male	LCSm14	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSm14	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066577	WGS	202	922547130	SAMD00056766	702546527	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060540	Illumina HiSeq 2000	library_SAMD00056766	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056766	DRP004357	MIGS.eu	missing	LCM07	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM07	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066581	WGS	202	1611569130	SAMD00056770	1227208389	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060544	Illumina HiSeq 2000	library_SAMD00056770	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056770	DRP004357	MIGS.eu	missing	LCM11	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM11	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066584	WGS	202	1153995902	SAMD00056773	883619151	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060547	Illumina HiSeq 2000	library_SAMD00056773	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056773	DRP004357	MIGS.eu	missing	LCM14	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM14	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066586	WGS	202	938107594	SAMD00056775	713868573	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060549	Illumina HiSeq 2000	library_SAMD00056775	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056775	DRP004357	MIGS.eu	missing	LCM17	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM17	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066588	WGS	202	1246460594	SAMD00056777	951344033	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060551	Illumina HiSeq 2000	library_SAMD00056777	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056777	DRP004357	MIGS.eu	missing	LCM20	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM20	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066589	WGS	202	2099537702	SAMD00056778	1597412121	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060552	Illumina HiSeq 2000	library_SAMD00056778	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056778	DRP004357	MIGS.eu	missing	LCM21	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM21	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066592	WGS	202	1180937652	SAMD00056781	901872657	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060555	Illumina HiSeq 2000	library_SAMD00056781	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056781	DRP004357	MIGS.eu	missing	LCM26	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM26	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066594	WGS	202	995440244	SAMD00056783	759606005	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060557	Illumina HiSeq 2000	library_SAMD00056783	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056783	DRP004357	MIGS.eu	missing	LCM30	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM30	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066596	WGS	202	1362445964	SAMD00056785	1027800219	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060559	Illumina HiSeq 2000	library_SAMD00056785	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056785	DRP004357	MIGS.eu	female	LCSf02	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSf02	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066601	WGS	202	1750151836	SAMD00056790	1320138349	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060564	Illumina HiSeq 2000	library_SAMD00056790	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056790	DRP004357	MIGS.eu	female	LCSf07	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSf07	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066602	WGS	202	1498642444	SAMD00056791	1127664219	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060565	Illumina HiSeq 2000	library_SAMD00056791	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056791	DRP004357	MIGS.eu	male	LCSm05	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSm05	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066604	WGS	202	1585873518	SAMD00056793	1198620222	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060567	Illumina HiSeq 2000	library_SAMD00056793	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056793	DRP004357	MIGS.eu	male	LCSm09	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSm09	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066607	WGS	202	1869668570	SAMD00056796	1408677408	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060570	Illumina HiSeq 2000	library_SAMD00056796	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056796	DRP004357	MIGS.eu	male	LCSm13	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSm13	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066612	WGS	202	2270786232	SAMD00056801	1708035731	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060575	Illumina HiSeq 2000	library_SAMD00056801	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056801	DRP004357	MIGS.eu	male	LCSm19	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSm19	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066613	WGS	202	887310452	SAMD00056802	669495452	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060576	Illumina HiSeq 2000	library_SAMD00056802	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056802	DRP004357	MIGS.eu	male	LCSm20	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSm20	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066614	WGS	202	1743074766	SAMD00056803	1315580595	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060577	Illumina HiSeq 2000	library_SAMD00056803	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056803	DRP004357	MIGS.eu	male	LCSm21	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSm21	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066587	WGS	202	1116956980	SAMD00056776	851581975	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060550	Illumina HiSeq 2000	library_SAMD00056776	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056776	DRP004357	MIGS.eu	missing	LCM18	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM18	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066593	WGS	202	1283382356	SAMD00056782	977796691	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060556	Illumina HiSeq 2000	library_SAMD00056782	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056782	DRP004357	MIGS.eu	missing	LCM28	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM28	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066575	WGS	202	905187654	SAMD00056764	688349960	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060538	Illumina HiSeq 2000	library_SAMD00056764	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056764	DRP004357	MIGS.eu	missing	LCM05	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM05	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066580	WGS	202	1400824752	SAMD00056769	1065712232	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060543	Illumina HiSeq 2000	library_SAMD00056769	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056769	DRP004357	MIGS.eu	missing	LCM10	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM10	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066609	WGS	202	1978050054	SAMD00056798	1491973121	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060572	Illumina HiSeq 2000	library_SAMD00056798	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056798	DRP004357	MIGS.eu	male	LCSm15	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSm15	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066610	WGS	202	1721603984	SAMD00056799	1296291087	NIG	public	sra	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	DRX060573	Illumina HiSeq 2000	library_SAMD00056799	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056799	DRP004357	MIGS.eu	male	LCSm16	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSm16	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066598	WGS	202	1687844532	SAMD00056787	1270668644	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060561	Illumina HiSeq 2000	library_SAMD00056787	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056787	DRP004357	MIGS.eu	female	LCSf04	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSf04	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066579	WGS	202	1192105828	SAMD00056768	908434965	NIG	public	sra	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	DRX060542	Illumina HiSeq 2000	library_SAMD00056768	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056768	DRP004357	MIGS.eu	missing	LCM09	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM09	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
PRJDB5056	DRR066611	WGS	202	2272047116	SAMD00056800	1711242506	NIG	public	sra	ncbi,s3,gs	gs.US,s3.us-east-1,ncbi.public	DRX060574	Illumina HiSeq 2000	library_SAMD00056800	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056800	DRP004357	MIGS.eu	male	LCSm18	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSm18	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066603	WGS	202	2581990664	SAMD00056792	1944404077	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060566	Illumina HiSeq 2000	library_SAMD00056792	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056792	DRP004357	MIGS.eu	male	LCSm06	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSm06	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066600	WGS	202	2382831188	SAMD00056789	1796133757	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060563	Illumina HiSeq 2000	library_SAMD00056789	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056789	DRP004357	MIGS.eu	female	LCSf06	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSf06	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066599	WGS	202	2506282276	SAMD00056788	1893864875	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX060562	Illumina HiSeq 2000	library_SAMD00056788	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056788	DRP004357	MIGS.eu	female	LCSf05	stream	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCSf05	stream	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	small stream	water	450000000
PRJDB5056	DRR066582	WGS	202	1837548752	SAMD00056771	1399406148	NIG	public	sra	s3,gs,ncbi	ncbi.public,gs.US,s3.us-east-1	DRX060545	Illumina HiSeq 2000	library_SAMD00056771	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-07-30T00:00:00Z	SAMD00056771	DRP004357	MIGS.eu	missing	LCM12	marine	2014-06	Canada	North America	Canada:British Columbia	49.01587 N 122.77996 W	LCM12	marine	sexual	2	missing	diploid	WGS of Little Campbell fish for population genomics	estuary	water	450000000
