BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	AGE	Ecotype	lat_lon	AssemblyName	propagation
PRJNA374462	SRR5271007	WGS	152	6471050704	SAMN06323925	3154970637	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575058	Illumina Genome Analyzer II	Pond-70251	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	SDPY_X_2006#24	SRP100209	Model organism or animal	female	fin clip	adult	lake	54.0277 N 131.7599 W	assembly	SDPY_X_2006#24
PRJNA374462	SRR5271009	WGS	152	3947642312	SAMN06323923	1936162620	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575060	Illumina Genome Analyzer II	Pond-188495	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	RDSP|X|2012#70385	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.624899798 N 132.036489197 W	assembly	RDSP|X|2012#70385
PRJNA374462	SRR5271010	WGS	152	3904531160	SAMN06323922	1910350421	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575061	Illumina Genome Analyzer II	Pond-188459	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	RDSP|X|2012#70368	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.624899798 N 132.036489197 W	assembly	RDSP|X|2012#70368
PRJNA374462	SRR5271011	WGS	152	4016931512	SAMN06323921	2021755548	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575062	Illumina Genome Analyzer II	Pond-188482	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	RDSP|X|2012#70364	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.624899798 N 132.036489197 W	assembly	RDSP|X|2012#70364
PRJNA374462	SRR5271012	WGS	152	3544410632	SAMN06323920	1782951120	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575063	Illumina Genome Analyzer II	Pond-188457	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	RDSP|X|2012#70353	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.624899798 N 132.036489197 W	assembly	RDSP|X|2012#70353
PRJNA374462	SRR5271014	WGS	152	3905681952	SAMN06323918	1960682661	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575065	Illumina Genome Analyzer II	Pond-188455	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	RDSP|X|2012#70337	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.624899798 N 132.036489197 W	assembly	RDSP|X|2012#70337
PRJNA374462	SRR5271015	WGS	152	3854552344	SAMN06323917	1938713824	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575066	Illumina Genome Analyzer II	Pond-188454	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	RDSP|X|2012#70332	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.624899798 N 132.036489197 W	assembly	RDSP|X|2012#70332
PRJNA374462	SRR5271016	WGS	152	3267440336	SAMN06323916	1646680049	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575067	Illumina Genome Analyzer II	Pond-188453	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	RDSP|X|2012#70314	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.624899798 N 132.036489197 W	assembly	RDSP|X|2012#70314
PRJNA374462	SRR5271017	WGS	152	4386252296	SAMN06323915	2222324624	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575068	Illumina Genome Analyzer II	Pond-188480	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	RDSP|X|2012#70311	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.624899798 N 132.036489197 W	assembly	RDSP|X|2012#70311
PRJNA374462	SRR5271018	WGS	152	4329980984	SAMN06323914	2142853910	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575069	Illumina Genome Analyzer II	Pond-188496	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	RDSP|X|2012#70307	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.624899798 N 132.036489197 W	assembly	RDSP|X|2012#70307
PRJNA374462	SRR5271019	WGS	152	6087375952	SAMN06323913	2974284347	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575070	Illumina Genome Analyzer II	Pond-70239	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	RDSP_X_2010#02	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.624899798 N 132.036489197 W	assembly	RDSP_X_2010#02
PRJNA374462	SRR5271020	WGS	152	2738584912	SAMN06323912	1242484684	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575071	Illumina Genome Analyzer II	Pond-164230	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	POQU|X|2009#29995	SRP100209	Model organism or animal	female	fin clip	adult	lake	52.601780387 N 131.703347232 W	assembly	POQU|X|2009#29995
PRJNA374462	SRR5271021	WGS	152	2765194488	SAMN06323911	1254307364	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575072	Illumina Genome Analyzer II	Pond-164297	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	MNYN|X|X#29997	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.599066419 N 132.963419768 W	assembly	MNYN|X|X#29997
PRJNA374462	SRR5271023	WGS	152	4848335944	SAMN06323909	2415611316	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575074	Illumina Genome Analyzer II	Pond-70257	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	MAYR|X|2004#30	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.657404509 N 132.062371212 W	assembly	MAYR|X|2004#30
PRJNA374462	SRR5271025	WGS	152	4262756704	SAMN06323907	2191552080	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575076	Illumina Genome Analyzer II	Pond-188478	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	MAYR|X|2004#24	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.657404509 N 132.062371212 W	assembly	MAYR|X|2004#24
PRJNA374462	SRR5271027	WGS	152	3360106528	SAMN06323905	1670138534	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575078	Illumina Genome Analyzer II	Pond-188489	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	MAYR|X|2004#17	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.657404509 N 132.062371212 W	assembly	MAYR|X|2004#17
PRJNA374462	SRR5271028	WGS	152	3916710464	SAMN06323904	1920094264	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575079	Illumina Genome Analyzer II	Pond-188451	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	MAYR|X|2004#14	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.657404509 N 132.062371212 W	assembly	MAYR|X|2004#14
PRJNA374462	SRR5271030	WGS	152	4211482088	SAMN06323902	2188665210	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575081	Illumina Genome Analyzer II	Pond-188499	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	MAYR|X|2004#09	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.657404509 N 132.062371212 W	assembly	MAYR|X|2004#09
PRJNA374462	SRR5271031	WGS	152	2665679024	SAMN06323901	1202276684	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575082	Illumina Genome Analyzer II	Pond-164307	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	MAYR|X|2004#04	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.657404509 N 132.062371212 W	assembly	MAYR|X|2004#04
PRJNA374462	SRR5271032	WGS	152	3073664200	SAMN06323900	1518898886	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575083	Illumina Genome Analyzer II	Pond-188448	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	MAYR|X|2004#03	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.657404509 N 132.062371212 W	assembly	MAYR|X|2004#03
PRJNA374462	SRR5271033	WGS	152	3688960960	SAMN06323899	1790624729	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575084	Illumina Genome Analyzer II	Pond-188447	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	MAYR_X_2009#11	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.657404509 N 132.062371212 W	assembly	MAYR_X_2009#11
PRJNA374462	SRR5271034	WGS	152	3207174464	SAMN06323898	1562709542	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575085	Illumina Genome Analyzer II	Pond-188488	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	MAYR_X_2009#05	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.657404509 N 132.062371212 W	assembly	MAYR_X_2009#05
PRJNA374462	SRR5271035	WGS	152	3187053768	SAMN06323897	1522932997	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575086	Illumina Genome Analyzer II	Pond-164296	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	LUTE|X|2003#76_4	SRP100209	Model organism or animal	female	fin clip	adult	lake	52.336771878 N 131.370217351 W	assembly	LUTE|X|2003#76_4
PRJNA374462	SRR5271036	WGS	152	4546879664	SAMN06323896	2387928940	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575087	Illumina Genome Analyzer II	Pond-188445	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	LAUR|X|1993#9_5	SRP100209	Model organism or animal	male	fin clip	adult	lake	53.929794435 N 132.026397308 W	assembly	LAUR|X|1993#9_5
PRJNA374462	SRR5271037	WGS	152	2550733888	SAMN06323895	1143547291	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575088	Illumina Genome Analyzer II	Pond-164227	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	GOLD|X|X#12	SRP100209	Model organism or animal	female	fin clip	adult	stream	53.631887767 N 132.053583058 W	assembly	GOLD|X|X#12
PRJNA374462	SRR5271038	WGS	152	7382440120	SAMN06323894	3577372664	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575089	Illumina Genome Analyzer II	Pond-70264	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	GOLD_X_2009#02	SRP100209	Model organism or animal	female	fin clip	adult	stream	53.631887767 N 132.053583058 W	assembly	GOLD_X_2009#02
PRJNA374462	SRR5271039	WGS	152	4480168384	SAMN06323893	2449139667	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575090	Illumina Genome Analyzer II	Pond-188444	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	ESCP|X|1993#75_8	SRP100209	Model organism or animal	female	fin clip	adult	lake	52.552792859 N 131.797371474 W	assembly	ESCP|X|1993#75_8
PRJNA374462	SRR5271041	WGS	152	5963104248	SAMN06323891	2916573340	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575092	Illumina Genome Analyzer II	Pond-70229	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	DRIZ_O_2009#03	SRP100209	Model organism or animal	female	fin clip	adult	stream	53.937475 N 132.061285 W	assembly	DRIZ_O_2009#03
PRJNA374462	SRR5271042	WGS	152	6604402584	SAMN06323890	3210315012	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575093	Illumina Genome Analyzer II	Pond-70221	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	DRIZ_L_2009#15	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.934427366 N 132.074177561 W	assembly	DRIZ_L_2009#15
PRJNA374462	SRR5271043	WGS	152	6323232224	SAMN06323889	3081204085	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575094	Illumina Genome Analyzer II	Pond-70213	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	DRIZ_L_2009#02	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.934427366 N 132.074177561 W	assembly	DRIZ_L_2009#02
PRJNA374462	SRR5271044	WGS	152	6948423880	SAMN06323888	3397104065	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575095	Illumina Genome Analyzer II	Pond-70236	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	DRIZ_I_2010#01	SRP100209	Model organism or animal	female	fin clip	adult	stream	53.929314857 N 132.076985378 W	assembly	DRIZ_I_2010#01
PRJNA374462	SRR5271045	WGS	152	6166416104	SAMN06323887	3009578400	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575096	Illumina Genome Analyzer II	Pond-70231	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	DAWS_X_2009#02	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.225721945 N 132.476814402 W	assembly	DAWS_X_2009#02
PRJNA374462	SRR5271046	WGS	152	5170148976	SAMN06323886	2560944631	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575097	Illumina Genome Analyzer II	Pond-70215	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	DARW_X_2009#03	SRP100209	Model organism or animal	female	fin clip	adult	lake	52.553616267 N 131.645954237 W	assembly	DARW_X_2009#03
PRJNA374462	SRR5271048	WGS	152	5569053368	SAMN06323884	2719104149	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575099	Illumina Genome Analyzer II	Pond-70252	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	BRNT_X_2009#05	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.967297303 N 132.017326469 W	assembly	BRNT_X_2009#05
PRJNA374462	SRR5271049	WGS	152	5056183328	SAMN06323883	2479838949	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575100	Illumina Genome Analyzer II	Pond-70266	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	BOUL_X_2010#02	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.783625751 N 132.100340209 W	assembly	BOUL_X_2010#02
PRJNA374462	SRR5271050	WGS	152	6004265240	SAMN06323882	2922476592	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575101	Illumina Genome Analyzer II	Pond-70259	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	BOUL_X_2010#01	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.783625751 N 132.100340209 W	assembly	BOUL_X_2010#01
PRJNA374462	SRR5271051	WGS	152	5683317696	SAMN06323881	2833191376	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575102	Illumina Genome Analyzer II	Pond-70224	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	BKW2_X_2010#01	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.375089 N 130.177378 W	assembly	BKW2_X_2010#01
PRJNA374462	SRR5271052	WGS	152	5368240696	SAMN06323880	2687984638	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575103	Illumina Genome Analyzer II	Pond-70232	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	BK70_X_2010#02	SRP100209	Model organism or animal	male	fin clip	adult	lake	53.358478 N 130.157146 W	assembly	BK70_X_2010#02
PRJNA374462	SRR5271053	WGS	152	5591981960	SAMN06323879	2742516718	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575104	Illumina Genome Analyzer II	Pond-70223	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	ANSR_X_2009#01	SRP100209	Model organism or animal	female	fin clip	adult	lake	54.11632135 N 131.68673362 W	assembly	ANSR_X_2009#01
PRJNA374462	SRR5271022	WGS	152	5635740480	SAMN06323910	2790008512	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575073	Illumina Genome Analyzer II	Pond-70245	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	MDPC_X_1993#01	SRP100209	Model organism or animal	female	fin clip	adult	marine	45 N 174 W	assembly	MDPC_X_1993#01
PRJNA374462	SRR5271008	WGS	152	3861465304	SAMN06323924	1927163763	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.US	SRX2575059	Illumina Genome Analyzer II	Pond-188500	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	ROUG|X|2000#f03	SRP100209	Model organism or animal	female	fin clip	adult	lake	54.033414516 N 131.87631256 W	assembly	ROUG|X|2000#f03
PRJNA374462	SRR5271029	WGS	152	4870256624	SAMN06323903	2654364818	UNIVERSITY OF VICTORIA	public	bam,sra	ncbi,gs,s3	ncbi.public,s3.us-east-1,gs.US	SRX2575080	Illumina Genome Analyzer II	Pond-188477	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	MAYR|X|2004#13	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.657404509 N 132.062371212 W	assembly	MAYR|X|2004#13
PRJNA374462	SRR5271013	WGS	152	3083649688	SAMN06323919	1500363963	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575064	Illumina Genome Analyzer II	Pond-188481	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	RDSP|X|2012#70346	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.624899798 N 132.036489197 W	assembly	RDSP|X|2012#70346
PRJNA374462	SRR5271024	WGS	152	6427798040	SAMN06323908	3134147165	UNIVERSITY OF VICTORIA	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2575075	Illumina Genome Analyzer II	Pond-70243	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2017-05-15T00:00:00Z	MAYR|X|2004#26	SRP100209	Model organism or animal	female	fin clip	adult	lake	53.657404509 N 132.062371212 W	assembly	MAYR|X|2004#26
