BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Strain	Breed	Cultivar	sub_species
PRJNA690558	SRR13394201	WGS	302	19078776010	SAMN17251268	8433104485	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813493	Illumina NovaSeq 6000	BAVA4	PAIRED	RANDOM	GENOMIC	Cyprinodon_higuey	ILLUMINA	2021-01-09T00:00:00Z	BAVA4	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	BAVA4	not applicable	not applicable	NA
PRJNA690558	SRR13394202	WGS	302	8560066784	SAMN17251348	3885048567	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813492	Illumina NovaSeq 6000	LILM4	PAIRED	RANDOM	GENOMIC	Cyprinodon_brontotheroides	ILLUMINA	2021-01-09T00:00:00Z	LILM4	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	LILM4	not applicable	not applicable	NA
PRJNA690558	SRR13394203	WGS	302	11344614900	SAMN17251347	5240306960	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813491	Illumina NovaSeq 6000	LILM3	PAIRED	RANDOM	GENOMIC	Cyprinodon_brontotheroides	ILLUMINA	2021-01-09T00:00:00Z	LILM3	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	LILM3	not applicable	not applicable	NA
PRJNA690558	SRR13394204	WGS	301	13593834040	SAMN17251346	5913173460	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813490	Illumina NovaSeq 6000	LGIA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	LGIA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	LGIA1	not applicable	not applicable	NA
PRJNA690558	SRR13394206	WGS	302	4161078914	SAMN17251344	1764155503	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813488	Illumina NovaSeq 6000	GNYA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GNYA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	GNYA1	not applicable	not applicable	NA
PRJNA690558	SRR13394208	WGS	302	10830744686	SAMN17251342	4393037192	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813486	Illumina NovaSeq 6000	GEOA6	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEOA6	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	GEOA6	not applicable	not applicable	NA
PRJNA690558	SRR13394209	WGS	301	9645879878	SAMN17251341	4040183301	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813485	Illumina NovaSeq 6000	GEOA5	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEOA5	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	GEOA5	not applicable	not applicable	NA
PRJNA690558	SRR13394210	WGS	302	9660584682	SAMN17251340	4017511490	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813484	Illumina NovaSeq 6000	GEOA4	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEOA4	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	GEOA4	not applicable	not applicable	NA
PRJNA690558	SRR13394211	WGS	302	6065053316	SAMN17251339	2739173734	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813483	Illumina NovaSeq 6000	GEOA2	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEOA2	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	GEOA2	not applicable	not applicable	NA
PRJNA690558	SRR13394212	WGS	301	12916389854	SAMN17251267	5346086031	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813482	Illumina NovaSeq 6000	BAVA2	PAIRED	RANDOM	GENOMIC	Cyprinodon_higuey	ILLUMINA	2021-01-09T00:00:00Z	BAVA2	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	BAVA2	not applicable	not applicable	NA
PRJNA690558	SRR13394213	WGS	302	4432731840	SAMN17251338	1772710174	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813481	Illumina NovaSeq 6000	GEOA11	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEOA11	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	GEOA11	not applicable	not applicable	NA
PRJNA690558	SRR13394214	WGS	302	9395965034	SAMN17251337	3734842373	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813480	Illumina NovaSeq 6000	GEOA10	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEOA10	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	GEOA10	not applicable	not applicable	NA
PRJNA690558	SRR13394215	WGS	302	8396620458	SAMN17251336	3763599750	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813479	Illumina NovaSeq 6000	GEOA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEOA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	GEOA1	not applicable	not applicable	NA
PRJNA690558	SRR13394216	WGS	302	11102575792	SAMN17251335	3457985934	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813478	Illumina NovaSeq 6000	GEO2A9	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEO2A9	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	GEO2A9	not applicable	not applicable	NA
PRJNA690558	SRR13394217	WGS	302	8613719802	SAMN17251334	2668225790	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813477	Illumina NovaSeq 6000	GEO2A8	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEO2A8	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	GEO2A8	not applicable	not applicable	NA
PRJNA690558	SRR13394218	WGS	302	17840486920	SAMN17251333	5660567898	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813476	Illumina NovaSeq 6000	GEO2A7	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEO2A7	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	GEO2A7	not applicable	not applicable	NA
PRJNA690558	SRR13394220	WGS	302	11960015400	SAMN17251331	3776206416	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813474	Illumina NovaSeq 6000	GEO2A5	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEO2A5	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	GEO2A5	not applicable	not applicable	NA
PRJNA690558	SRR13394221	WGS	302	10396206248	SAMN17251330	3268037361	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813473	Illumina NovaSeq 6000	GEO2A4	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEO2A4	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	GEO2A4	not applicable	not applicable	NA
PRJNA690558	SRR13394223	WGS	302	6170920020	SAMN17251266	1910984925	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813471	Illumina NovaSeq 6000	BAVA14	PAIRED	RANDOM	GENOMIC	Cyprinodon_higuey	ILLUMINA	2021-01-09T00:00:00Z	BAVA14	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	BAVA14	not applicable	not applicable	NA
PRJNA690558	SRR13394224	WGS	302	13092201320	SAMN17251328	4040974576	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813470	Illumina NovaSeq 6000	GEO2A2	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEO2A2	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	GEO2A2	not applicable	not applicable	NA
PRJNA690558	SRR13394226	WGS	302	14382277672	SAMN17251326	4376058554	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813468	Illumina NovaSeq 6000	GEO2A1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEO2A1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	GEO2A1	not applicable	not applicable	NA
PRJNA690558	SRR13394227	WGS	302	8246553034	SAMN17251325	3652466247	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813467	Illumina NovaSeq 6000	FLSA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	FLSA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	FLSA1	not applicable	not applicable	NA
PRJNA690558	SRR13394228	WGS	302	780800464	SAMN17251324	328000904	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813466	Illumina NovaSeq 6000	FCTA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	FCTA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	FCTA1	not applicable	not applicable	NA
PRJNA690558	SRR13394229	WGS	302	7669822124	SAMN17251323	3061360819	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813465	Illumina NovaSeq 6000	EXUA2	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	EXUA2	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	EXUA2	not applicable	not applicable	NA
PRJNA690558	SRR13394230	WGS	302	8938495132	SAMN17251322	4018699702	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813464	Illumina NovaSeq 6000	EXUA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	EXUA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	EXUA1	not applicable	not applicable	NA
PRJNA690558	SRR13394231	WGS	302	5537885740	SAMN17251321	2340837746	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813463	Illumina NovaSeq 6000	EPLA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	EPLA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	EPLA1	not applicable	not applicable	NA
PRJNA690558	SRR13394232	WGS	302	6972458824	SAMN17251320	3138454470	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813462	Illumina NovaSeq 6000	DEAA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	DEAA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	DEAA1	not applicable	not applicable	NA
PRJNA690558	SRR13394234	WGS	302	6730569810	SAMN17251265	2091731544	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813460	Illumina NovaSeq 6000	BAVA13	PAIRED	RANDOM	GENOMIC	Cyprinodon_higuey	ILLUMINA	2021-01-09T00:00:00Z	BAVA13	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	BAVA13	not applicable	not applicable	NA
PRJNA690558	SRR13394235	WGS	302	10870781128	SAMN17251318	3343404841	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813459	Illumina NovaSeq 6000	CYPRAD18.1	PAIRED	RANDOM	GENOMIC	Cyprinodon_radiosus	ILLUMINA	2021-01-09T00:00:00Z	CYPRAD18.1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	CYPRAD18.1	not applicable	not applicable	NA
PRJNA690558	SRR13394236	WGS	302	12736308514	SAMN17251317	3901947766	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813458	Illumina NovaSeq 6000	CYPMACRO	PAIRED	RANDOM	GENOMIC	Cyprinodon_macrolepis	ILLUMINA	2021-01-09T00:00:00Z	CYPMACRO	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	CYPMACRO	not applicable	not applicable	NA
PRJNA690558	SRR13394237	WGS	173	2724456456	SAMN17251316	848048483	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813457	Illumina NovaSeq 6000	CYPMACOCH17.4	PAIRED	RANDOM	GENOMIC	Cyprinodon_macularius	ILLUMINA	2021-01-09T00:00:00Z	CYPMACOCH17.4	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	CYPMACOCH17.4	not applicable	not applicable	NA
PRJNA690558	SRR13394238	WGS	302	7305718542	SAMN17251315	2245093491	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813456	Illumina NovaSeq 6000	CYPLONGI	PAIRED	RANDOM	GENOMIC	Cyprinodon_longidorsalis	ILLUMINA	2021-01-09T00:00:00Z	CYPLONGI	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	Mexico	North America	Mexico: Charco Palma	CYPLONGI	not applicable	not applicable	NA
PRJNA690558	SRR13394239	WGS	302	9055137498	SAMN17251314	2770370837	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813455	Illumina NovaSeq 6000	CYPFONTCARB	PAIRED	RANDOM	GENOMIC	Cyprinodon_fontinalis	ILLUMINA	2021-01-09T00:00:00Z	CYPFONTCARB	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	CYPFONTCARB	not applicable	not applicable	NA
PRJNA690558	SRR13394240	WGS	302	10304169332	SAMN17251313	3157862030	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813454	Illumina NovaSeq 6000	CYPEXI	PAIRED	RANDOM	GENOMIC	Cyprinodon_eximius	ILLUMINA	2021-01-09T00:00:00Z	CYPEXI	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	CYPEXI	not applicable	not applicable	NA
PRJNA690558	SRR13394242	WGS	302	7096557570	SAMN17251311	2183574339	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813452	Illumina NovaSeq 6000	CYPALBI	PAIRED	RANDOM	GENOMIC	Cyprinodon_albivelis	ILLUMINA	2021-01-09T00:00:00Z	CYPALBI	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	CYPALBI	not applicable	not applicable	NA
PRJNA690558	SRR13394243	WGS	302	6439915044	SAMN17251310	2931201046	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813451	Illumina NovaSeq 6000	CURA21	PAIRED	RANDOM	GENOMIC	Cyprinodon_dearborni	ILLUMINA	2021-01-09T00:00:00Z	CURA21	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	CURA21	not applicable	not applicable	NA
PRJNA690558	SRR13394244	WGS	302	5069481324	SAMN17251309	2263744729	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813450	Illumina NovaSeq 6000	CURA2	PAIRED	RANDOM	GENOMIC	Cyprinodon_dearborni	ILLUMINA	2021-01-09T00:00:00Z	CURA2	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	CURA2	not applicable	not applicable	NA
PRJNA690558	SRR13394246	WGS	302	5968277114	SAMN17251308	2735812835	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813448	Illumina NovaSeq 6000	CURA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_dearborni	ILLUMINA	2021-01-09T00:00:00Z	CURA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NA	NA	NA	CURA1	not applicable	not applicable	NA
PRJNA690558	SRR13394247	WGS	302	8131957624	SAMN17251307	2508991615	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813447	Illumina NovaSeq 6000	CUNP7	PAIRED	RANDOM	GENOMIC	Cyprinodon_laciniatus	ILLUMINA	2021-01-09T00:00:00Z	CUNP7	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	Bahamas	North America	Bahamas: Lake Cunningham on New Providence Island	CUNP7	not applicable	not applicable	NA
PRJNA690558	SRR13394248	WGS	302	28130756400	SAMN17251306	12310394011	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813446	Illumina NovaSeq 6000	CUNP6	PAIRED	RANDOM	GENOMIC	Cyprinodon_laciniatus	ILLUMINA	2021-01-09T00:00:00Z	CUNP6	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	Bahamas	North America	Bahamas: Lake Cunningham on New Providence Island	CUNP6	not applicable	not applicable	NA
PRJNA690558	SRR13394249	WGS	302	7719887382	SAMN17251305	3531878419	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813445	Illumina NovaSeq 6000	CUNP5	PAIRED	RANDOM	GENOMIC	Cyprinodon_laciniatus	ILLUMINA	2021-01-09T00:00:00Z	CUNP5	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	Bahamas	North America	Bahamas: Lake Cunningham on New Providence Island	CUNP5	not applicable	not applicable	NA
