BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	AGE	Ecotype	birth_location
PRJNA274877	SRR1793429	WGS	200	5224835600	SAMN03333202	3695732478	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868870	Illumina HiSeq 2000	library_11564	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	11564	SRP053341	Model organism or animal	missing	muscle	missing	missing	Eerguna, Inner Mongolia 4
PRJNA274877	SRR1793430	WGS	200	5764742800	SAMN03333203	4016511735	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868871	Illumina HiSeq 2000	library_15078	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	15078	SRP053341	Model organism or animal	missing	muscle	missing	missing	Teshig, Mongolia 1
PRJNA274877	SRR1793431	WGS	200	6644217200	SAMN03333204	4631622980	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868872	Illumina HiSeq 2000	library_15081	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	15081	SRP053341	Model organism or animal	missing	muscle	missing	missing	Teshig, Mongolia 2
PRJNA274877	SRR1793432	WGS	200	5383420200	SAMN03333205	3907785654	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868873	Illumina HiSeq 2000	library_15100	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	15100	SRP053341	Model organism or animal	missing	muscle	missing	missing	Tushig, Mongolia 3
PRJNA274877	SRR1793433	WGS	200	5214397000	SAMN03333206	3796070642	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868874	Illumina HiSeq 2000	library_15110	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	15110	SRP053341	Model organism or animal	missing	muscle	missing	missing	Tushig, Mongolia 4
PRJNA274877	SRR1793434	WGS	200	5305720600	SAMN03333207	3861782399	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868875	Illumina HiSeq 2000	library_15111	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	15111	SRP053341	Model organism or animal	missing	muscle	missing	missing	Tushig, Mongolia 5
PRJNA274877	SRR1793435	WGS	200	5997104800	SAMN03333208	4225733472	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868876	Illumina HiSeq 2000	library_17252	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	17252	SRP053341	Model organism or animal	missing	muscle	missing	missing	Altai Region, Russia
PRJNA274877	SRR1793436	WGS	200	5699480400	SAMN03333209	4127197535	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868877	Illumina HiSeq 2000	library_8204	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	8204	SRP053341	Model organism or animal	missing	muscle	missing	missing	Shenlongjia, Hubei 1
PRJNA274877	SRR1793437	WGS	200	5590101200	SAMN03333210	3907173704	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868878	Illumina HiSeq 2000	library_8236	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	8236	SRP053341	Model organism or animal	missing	muscle	missing	missing	Shenlongjia, Hubei 2
PRJNA274877	SRR1793438	WGS	200	6074937400	SAMN03333211	4184184381	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868879	Illumina HiSeq 2000	library_10076	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	10076	SRP053341	Model organism or animal	missing	muscle	missing	missing	Jixi, Anhui
PRJNA274877	SRR1793439	WGS	200	6151652200	SAMN03333212	4254728515	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868880	Illumina HiSeq 2000	library_10635	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	10635	SRP053341	Model organism or animal	missing	muscle	missing	missing	Panjin, Liaoning 1
PRJNA274877	SRR1793441	WGS	200	5958343200	SAMN03333214	4288102337	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868882	Illumina HiSeq 2000	library_10637	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	10637	SRP053341	Model organism or animal	missing	muscle	missing	missing	Panjin, Liaoning 3
PRJNA274877	SRR1793442	WGS	200	4998761600	SAMN03333215	3576588127	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868883	Illumina HiSeq 2000	library_10732	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	10732	SRP053341	Model organism or animal	missing	muscle	missing	missing	Kuandian, Liaoning 1
PRJNA274877	SRR1793443	WGS	200	5697787200	SAMN03333216	4228562892	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868884	Illumina HiSeq 2000	library_10860	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	10860	SRP053341	Model organism or animal	missing	muscle	missing	missing	Kuandian, Liaoning 2
PRJNA274877	SRR1793444	WGS	200	5951903600	SAMN03333217	4295735257	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868885	Illumina HiSeq 2000	library_11929	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	11929	SRP053341	Model organism or animal	missing	muscle	missing	missing	Sunan, Gansu 1
PRJNA274877	SRR1793445	WGS	200	5930463000	SAMN03333218	4265330853	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868886	Illumina HiSeq 2000	library_11944	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	11944	SRP053341	Model organism or animal	missing	muscle	missing	missing	Sunan, Gansu 2
PRJNA274877	SRR1793447	WGS	200	5697787200	SAMN03333219	4145404896	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868887	Illumina HiSeq 2000	library_12003	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	12003	SRP053341	Model organism or animal	missing	muscle	missing	missing	Yongdeng, Gansu
PRJNA274877	SRR1793406	WGS	200	5775936400	SAMN03333189	4090335203	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868848	Illumina HiSeq 2000	library_4000	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	4000	SRP053341	Model organism or animal	missing	muscle	missing	missing	Yanbian, Sichuan 2
PRJNA274877	SRR1793417	WGS	200	6792251200	SAMN03333192	4641666260	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868860	Illumina HiSeq 2000	library_5242	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	5242	SRP053341	Model organism or animal	missing	muscle	missing	missing	Gaoligong, Yunnan 3
PRJNA274877	SRR1793440	WGS	200	5471350400	SAMN03333213	3945519686	NOVOGENE	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX868881	Illumina HiSeq 2000	library_10636	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-06-23T00:00:00Z	10636	SRP053341	Model organism or animal	missing	muscle	missing	missing	Panjin, Liaoning 2
