BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	Ecotype	Sample_Type	Sample_code	use_species
PRJNA642736	SRR12106885	WGS	302	23197946384	SAMN15398085	8295322621	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631117	Illumina NovaSeq 6000	HGS27_Gloppen_Atlantic_Spring_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS27_Gloppen	SRP269168	Model organism or animal	not applicable	missing	adult	Norway:Gloppen	pool	HGS27_Gloppen	1
PRJNA642736	SRR12106886	WGS	302	23365068050	SAMN15398085	8357649895	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631116	Illumina NovaSeq 6000	HGS27_Gloppen_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS27_Gloppen	SRP269168	Model organism or animal	not applicable	missing	adult	Norway:Gloppen	pool	HGS27_Gloppen	1
PRJNA642736	SRR12106888	WGS	300	16273234200	SAMN15398035	6859482334	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631114	Illumina NovaSeq 6000	Pacific16_Vancouver_Pacific_rg3	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific16	SRP269168	Model organism or animal	not determined	missing	adult	Canada:Vancouver	individual	Pacific16	1
PRJNA642736	SRR12106889	WGS	296	45936621868	SAMN15398083	17896873301	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631113	Illumina NovaSeq 6000	HGS15_NSSH_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS15_NSSH	SRP269168	Model organism or animal	not applicable	missing	adult	Norway	pool	HGS15_NSSH	1
PRJNA642736	SRR12106890	WGS	299	33642323614	SAMN15398082	14043885927	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631112	Illumina NovaSeq 6000	HGS9_Greenland_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS9_Greenland	SRP269168	Model organism or animal	not applicable	missing	adult	Greenland	pool	HGS9_Greenland	1
PRJNA642736	SRR12106892	WGS	302	8282786994	SAMN15398080	2993091974	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631110	Illumina NovaSeq 6000	HGS19_TeelinBay_Atlantic_Winter_rg3	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS19_TeelinBay	SRP269168	Model organism or animal	not applicable	missing	adult	Teelin Bay	pool	HGS19_TeelinBay	1
PRJNA642736	SRR12106893	WGS	302	8398240084	SAMN15398080	3034236281	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631109	Illumina NovaSeq 6000	HGS19_TeelinBay_Atlantic_Winter_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS19_TeelinBay	SRP269168	Model organism or animal	not applicable	missing	adult	Teelin Bay	pool	HGS19_TeelinBay	1
PRJNA642736	SRR12106894	WGS	302	20274964186	SAMN15398080	7717143435	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631108	Illumina NovaSeq 6000	HGS19_TeelinBay_Atlantic_Winter_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS19_TeelinBay	SRP269168	Model organism or animal	not applicable	missing	adult	Teelin Bay	pool	HGS19_TeelinBay	1
PRJNA642736	SRR12106895	WGS	299	43977608237	SAMN15398079	16688931899	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631107	Illumina NovaSeq 6000	HGS17_IsleOfMan_IrishSea_Autumn_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS17_IsleOfMan	SRP269168	Model organism or animal	not applicable	missing	adult	Irish Sea:Isle Of Man	pool	HGS17_IsleOfMan	1
PRJNA642736	SRR12106896	WGS	298	38442047857	SAMN15398078	14585384461	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631106	Illumina NovaSeq 6000	HGS23_Clyde_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS23_Clyde	SRP269168	Model organism or animal	not applicable	missing	adult	Clyde	pool	HGS23_Clyde	1
PRJNA642736	SRR12106897	WGS	302	16848853914	SAMN15398077	6131871891	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631105	Illumina NovaSeq 6000	HGS26_Lusterfjorden_Atlantic_Spring_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS26_Lusterfjorden	SRP269168	Model organism or animal	not applicable	missing	adult	Norway:Lusterfjorden	pool	HGS26_Lusterfjorden	1
PRJNA642736	SRR12106898	WGS	302	17203047970	SAMN15398077	6262324434	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631104	Illumina NovaSeq 6000	HGS26_Lusterfjorden_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS26_Lusterfjorden	SRP269168	Model organism or animal	not applicable	missing	adult	Norway:Lusterfjorden	pool	HGS26_Lusterfjorden	1
PRJNA642736	SRR12106899	WGS	300	16772346300	SAMN15398035	7026137754	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631103	Illumina NovaSeq 6000	Pacific16_Vancouver_Pacific_rg2	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific16	SRP269168	Model organism or animal	not determined	missing	adult	Canada:Vancouver	individual	Pacific16	1
PRJNA642736	SRR12106900	WGS	302	21871062876	SAMN15398076	7702340310	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631102	Illumina NovaSeq 6000	HGS25_Lindas_Atlantic_Spring_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS25_Lindas	SRP269168	Model organism or animal	not applicable	missing	adult	Norway:Lindas	pool	HGS25_Lindas	1
PRJNA642736	SRR12106901	WGS	302	21992444830	SAMN15398076	7749553009	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631101	Illumina NovaSeq 6000	HGS25_Lindas_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS25_Lindas	SRP269168	Model organism or animal	not applicable	missing	adult	Norway:Lindas	pool	HGS25_Lindas	1
PRJNA642736	SRR12106902	WGS	299	56006550421	SAMN15398075	23286555773	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631100	Illumina NovaSeq 6000	HGS8_KattegatNorth_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS8_KattegatNorth	SRP269168	Model organism or animal	not applicable	missing	adult	Kattegat	pool	HGS8_KattegatNorth	1
PRJNA642736	SRR12106903	WGS	249	20146192590	SAMN15398074	9040703945	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631099	Illumina NovaSeq 6000	LandvikS32_Norway_Baltic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	LandvikS32	SRP269168	Model organism or animal	not applicable	missing	adult	Norway:Landvik	pool	LandvikS32	1
PRJNA642736	SRR12106904	WGS	251	30075386610	SAMN15398073	14385937802	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631098	Illumina NovaSeq 6000	LandvikS17_Norway_Baltic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	LandvikS17	SRP269168	Model organism or animal	not applicable	missing	adult	Norway:Landvik	pool	LandvikS17	1
PRJNA642736	SRR12106905	WGS	302	19440089716	SAMN15398072	6966909495	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631097	Illumina NovaSeq 6000	HGS24_Landvik_Atlantic_Spring_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS24_Landvik	SRP269168	Model organism or animal	not applicable	missing	adult	Norway:Landvik	pool	HGS24_Landvik	1
PRJNA642736	SRR12106906	WGS	302	19713872346	SAMN15398072	7068404322	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631096	Illumina NovaSeq 6000	HGS24_Landvik_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS24_Landvik	SRP269168	Model organism or animal	not applicable	missing	adult	Norway:Landvik	pool	HGS24_Landvik	1
PRJNA642736	SRR12106907	WGS	299	32402950862	SAMN15398071	12370800255	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631095	Illumina NovaSeq 6000	HGS11_RingkobingFjord_NorthSea_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS11_RingkobingFjord	SRP269168	Model organism or animal	not applicable	missing	adult	Denmark:Ringkobing Fjord	pool	HGS11_RingkobingFjord	1
PRJNA642736	SRR12106908	WGS	299	38347042048	SAMN15398070	15867096896	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631094	Illumina NovaSeq 6000	HGS5_Schlei_Baltic_Autumn_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS5_Schlei	SRP269168	Model organism or animal	not applicable	missing	adult	Baltic Sea:Schlei	pool	HGS5_Schlei	1
PRJNA642736	SRR12106909	WGS	299	44314678868	SAMN15398069	18373932702	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631093	Illumina NovaSeq 6000	HGS6_Schlei_Baltic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS6_Schlei	SRP269168	Model organism or animal	not applicable	missing	adult	Baltic Sea:Schlei	pool	HGS6_Schlei	1
PRJNA642736	SRR12106910	WGS	300	16332449100	SAMN15398035	6822132684	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631092	Illumina NovaSeq 6000	Pacific16_Vancouver_Pacific_rg1	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific16	SRP269168	Model organism or animal	not determined	missing	adult	Canada:Vancouver	individual	Pacific16	1
PRJNA642736	SRR12106912	WGS	249	18075315312	SAMN15398067	8297084392	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631090	Illumina NovaSeq 6000	TysklandS33_Germany_Baltic_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	TysklandS33	SRP269168	Model organism or animal	not applicable	missing	adult	Baltic Sea:Ariadnegrund	pool	TysklandS33	1
PRJNA642736	SRR12106914	WGS	299	58638188916	SAMN15398065	24467244487	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631088	Illumina NovaSeq 6000	HGS72_Rugen_Baltic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS72_Rugen	SRP269168	Model organism or animal	not applicable	missing	adult	Baltic Sea: Rugen	pool	HGS72_Rugen	1
PRJNA642736	SRR12106915	WGS	296	34967672609	SAMN15398064	14888770246	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631087	Illumina NovaSeq 6000	HGS71_Rugen_Baltic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS71_Rugen	SRP269168	Model organism or animal	not applicable	missing	adult	Baltic Sea: Rugen	pool	HGS71_Rugen	1
PRJNA642736	SRR12106916	WGS	299	67118867647	SAMN15398063	28032605422	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631086	Illumina NovaSeq 6000	HGS4_Riga_Baltic_Autumn_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS4_Riga	SRP269168	Model organism or animal	not applicable	missing	adult	Baltic Sea: Riga	pool	HGS4_Riga	1
PRJNA642736	SRR12106917	WGS	299	65763320330	SAMN15398062	27621958997	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631085	Illumina NovaSeq 6000	HGS3_Riga_Baltic_Autumn_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS3_Riga	SRP269168	Model organism or animal	not applicable	missing	adult	Baltic Sea: Riga	pool	HGS3_Riga	1
PRJNA642736	SRR12106918	WGS	299	60709814434	SAMN15398061	25146955299	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631084	Illumina NovaSeq 6000	HGS2_Riga_Baltic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS2_Riga	SRP269168	Model organism or animal	not applicable	missing	adult	Baltic Sea: Riga	pool	HGS2_Riga	1
PRJNA642736	SRR12106919	WGS	299	67771541355	SAMN15398060	27748501450	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631083	Illumina NovaSeq 6000	HGS1_Riga_Baltic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS1_Riga	SRP269168	Model organism or animal	not applicable	missing	adult	Baltic Sea: Riga	pool	HGS1_Riga	1
PRJNA642736	SRR12106920	WGS	250	26522114750	SAMN15398059	11976368400	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631082	Illumina NovaSeq 6000	Fehmarn44_Fehmarn_Baltic_Autumn_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	Fehmarn44	SRP269168	Model organism or animal	not determined	missing	adult	Baltic Sea: Fehmarn	individual	Fehmarn44	1
PRJNA642736	SRR12106921	WGS	300	17090563500	SAMN15398034	7245486651	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631081	Illumina NovaSeq 6000	Pacific5_Vancouver_Pacific_rg3	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific5	SRP269168	Model organism or animal	not determined	missing	adult	Canada:Vancouver	individual	Pacific5	1
PRJNA642736	SRR12106922	WGS	250	26348546250	SAMN15398058	11425592268	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631080	Illumina NovaSeq 6000	Fehmarn6_Fehmarn_Baltic_Autumn_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	Fehmarn6	SRP269168	Model organism or animal	not determined	missing	adult	Baltic Sea: Fehmarn	individual	Fehmarn6	1
PRJNA642736	SRR12106923	WGS	250	22572411750	SAMN15398057	9788883618	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631079	Illumina NovaSeq 6000	Fehmarn3_Fehmarn_Baltic_Autumn_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	Fehmarn3	SRP269168	Model organism or animal	not determined	missing	adult	Baltic Sea: Fehmarn	individual	Fehmarn3	1
PRJNA642736	SRR12106924	WGS	250	53730479250	SAMN15398056	24899725480	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631078	Illumina NovaSeq 6000	Gavle100_Gavle_Baltic_Autumn_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	Gavle100	SRP269168	Model organism or animal	not determined	missing	adult	Baltic Sea: Gavle	individual	Gavle100	1
PRJNA642736	SRR12106927	WGS	302	6143606838	SAMN15398053	2198798476	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631075	Illumina NovaSeq 6000	AAL3_CelticSea_Atlantic_Winter_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	AAL3_CelticSea	SRP269168	Model organism or animal	not determined	missing	adult	Celtic Sea	individual	AAL3_CelticSea	1
PRJNA642736	SRR12106928	WGS	302	6185319078	SAMN15398053	2213587285	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631074	Illumina NovaSeq 6000	AAL3_CelticSea_Atlantic_Winter_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	AAL3_CelticSea	SRP269168	Model organism or animal	not determined	missing	adult	Celtic Sea	individual	AAL3_CelticSea	1
PRJNA642736	SRR12106930	WGS	302	6240517430	SAMN15398052	2197691063	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631072	Illumina NovaSeq 6000	AAL2_CelticSea_Atlantic_Winter_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	AAL2_CelticSea	SRP269168	Model organism or animal	not determined	missing	adult	Celtic Sea	individual	AAL2_CelticSea	1
PRJNA642736	SRR12106933	WGS	302	5385676532	SAMN15398051	1933323893	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631069	Illumina NovaSeq 6000	AAL1_CelticSea_Atlantic_Winter_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	AAL1_CelticSea	SRP269168	Model organism or animal	not determined	missing	adult	Celtic Sea	individual	AAL1_CelticSea	1
PRJNA642736	SRR12106934	WGS	302	5808670416	SAMN15398050	2056196172	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631068	Illumina NovaSeq 6000	AK3_Downs_Atlantic_Winter_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	AK3_Downs	SRP269168	Model organism or animal	not determined	missing	adult	English channel:Downs	individual	AK3_Downs	1
PRJNA642736	SRR12106935	WGS	302	5844696298	SAMN15398050	2069320279	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631067	Illumina NovaSeq 6000	AK3_Downs_Atlantic_Winter_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	AK3_Downs	SRP269168	Model organism or animal	not determined	missing	adult	English channel:Downs	individual	AK3_Downs	1
PRJNA642736	SRR12106936	WGS	302	6637480726	SAMN15398049	2357166967	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631066	Illumina NovaSeq 6000	AK2_Downs_Atlantic_Winter_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	AK2_Downs	SRP269168	Model organism or animal	not determined	missing	adult	English channel:Downs	individual	AK2_Downs	1
PRJNA642736	SRR12106937	WGS	302	6684084158	SAMN15398049	2374833585	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631065	Illumina NovaSeq 6000	AK2_Downs_Atlantic_Winter_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	AK2_Downs	SRP269168	Model organism or animal	not determined	missing	adult	English channel:Downs	individual	AK2_Downs	1
