Sample,Total_Reads,Percent_mapped,Num_duplicates,Percent_properly_paired,Fraction_reads_pass_filter,NumReadsPassingFilters,File
SAMEA6815661 , 196527507 , 99.58 ,45305244.0, 97.01 , 0.9676235574891383 , 195112694,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815662 , 207476181 , 99.59 ,56460423.0, 97.26 , 0.9709446522779677 , 206040444,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815663 , 140249332 , 99.8 ,10364800.0, 97.35 , 0.9342254462056097 , 138927020,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815664 , 128244424 , 99.74 ,10146526.0, 97.55 , 0.9464069185633249 , 127115820,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815665 , 108385810 , 98.8 ,8335779.0, 96.67 , 0.9320353409999727 , 107526302,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815666 , 129254110 , 99.52 ,12944846.0, 97.5 , 0.95016453069312 , 128357430,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815667 , 103207513 , 99.72 ,9931422.0, 97.61 , 0.9168479595985672 , 102455306,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815669 , 116703576 , 99.81 ,11062971.0, 97.81 , 0.9536752859854333 , 115807754,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815670 , 121179153 , 99.34 ,9048866.0, 97.26 , 0.8927970110137478 , 120443620,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815671 , 112994570 , 99.72 ,20896231.0, 97.2 , 0.9760056952139218 , 112162920,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815672 , 82185756 , 99.62 ,15462952.0, 97.44 , 0.9727727383053689 , 81623448,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815674 , 99557358 , 99.75 ,19729914.0, 97.48 , 0.9789232952190138 , 98899344,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815675 , 39344730 , 99.74 ,6387447.0, 97.5 , 0.9754614001967351 , 39096768,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815676 , 117915504 , 99.73 ,7676719.0, 97.32 , 0.9363077675648511 , 116873016,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815673 , 90799941 , 99.65 ,17106311.0, 97.29 , 0.97069558414524 , 90236640,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815656 , 156613796 , 99.79 ,24890076.0, 98.07 , 0.9353183323932812 , 155486388,sumstats/Amphilophus_astorquii_GCA_013435755.1_bam_sumstats.txt
SAMEA6815677 , 162404653 , 99.77 ,18537327.0, 97.37 , 0.9158779587805295 , 161057586,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815678 , 124004075 , 99.83 ,10068956.0, 97.68 , 0.949709321716274 , 122956522,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815680 , 125119001 , 99.8 ,8396612.0, 97.57 , 0.9105169717590264 , 124186364,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815683 , 121713628 , 99.83 ,9526558.0, 97.69 , 0.945510871706898 , 120677818,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815687 , 131139885 , 99.81 ,10886926.0, 97.76 , 0.9448349943279545 , 130136984,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815688 , 198715762 , 99.76 ,36790089.0, 97.35 , 0.9765073876079823 , 197269718,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815689 , 193338002 , 99.78 ,33162862.000000004, 97.39 , 0.978806867925587 , 192011494,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815690 , 48066808 , 99.72 ,10146570.0, 97.5 , 0.9725212047013152 , 47753734,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815691 , 129799315 , 99.77 ,2769061.0, 97.57 , 0.9601067039466086 , 128959426,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815692 , 147420366 , 99.72 ,34874530.0, 97.52 , 0.9766267296052346 , 146366378,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815693 , 191563403 , 99.72 ,40192113.0, 97.33 , 0.9754887666957905 , 190230876,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815694 , 184957062 , 99.73 ,34019514.0, 97.32 , 0.975759827494479 , 183666400,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815697 , 204753264 , 99.77 ,41439769.0, 97.35 , 0.9762406526042157 , 203396616,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815698 , 192543966 , 99.73 ,39726256.0, 97.25 , 0.9709124496606301 , 191260960,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815679 , 140764456 , 99.79 ,17877500.0, 97.66 , 0.9449128536760479 , 139622266,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815681 , 118988212 , 99.8 ,10875452.0, 97.55 , 0.9267290293776634 , 118000348,sumstats/Amphilophus_chancho_GCA_013435755.1_bam_sumstats.txt
SAMEA6815854 , 19330957 , 99.72 ,3528043.0, 97.37 , 0.9754634090047449 , 19204510,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815855 , 196491693 , 99.7 ,43226064.0, 97.22 , 0.9738743688072486 , 195038634,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815856 , 222642178 , 99.66 ,48853162.0, 97.29 , 0.9695115616249429 , 221293874,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815857 , 185488424 , 99.65 ,40765866.0, 97.11 , 0.9773170532295438 , 184253586,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815858 , 147883064 , 99.75 ,3631381.0, 97.45 , 0.9572817727167351 , 146894530,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815859 , 151627571 , 99.56 ,29660278.0, 97.13 , 0.9737153416443567 , 150626034,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815860 , 172525792 , 99.65 ,28570066.0, 97.11 , 0.9744183589890528 , 171315832,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815861 , 144505309 , 99.69 ,11404853.0, 97.4 , 0.9476290023087935 , 143245554,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815862 , 120894137 , 99.67 ,10745222.0, 97.58 , 0.9268733040794933 , 120080398,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815863 , 157230926 , 98.84 ,12732238.0, 96.62 , 0.9483535144030742 , 155877620,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815864 , 123649583 , 99.45 ,11121059.0, 97.28 , 0.9319392989252385 , 122799114,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815865 , 111042242 , 99.73 ,7376763.0, 97.42 , 0.9095506947872661 , 110204402,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815866 , 126739403 , 99.79 ,9535544.0, 97.52 , 0.9363089249499941 , 125706194,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815867 , 232333731 , 99.65 ,48525847.0, 97.41 , 0.9670375250363417 , 230832832,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815868 , 68582812 , 99.45 ,4243848.0, 97.18 , 0.9189009569032756 , 68031856,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815869 , 16406636 , 99.51 ,971364.0, 97.68 , 0.9140442165322464 , 16293010,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815870 , 158037320 , 99.72 ,20966547.0, 97.05 , 0.9784678457932455 , 156956170,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815871 , 169330771 , 99.69 ,42709540.0, 97.47 , 0.9689733137599513 , 168200940,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815872 , 122968017 , 97.26 ,9139988.0, 95.28 , 0.9230764395056233 , 122167904,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815873 , 177741064 , 99.79 ,46906390.99999999, 97.49 , 0.9782791085922957 , 176329104,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815874 , 122671044 , 99.79 ,11178658.0, 97.55 , 0.9262719545788362 , 121702572,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815875 , 137871990 , 99.82 ,13063337.0, 97.65 , 0.9523837805417793 , 136913018,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815876 , 108504326 , 99.81 ,9651812.0, 97.57 , 0.9238369293739891 , 107653788,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815877 , 113255916 , 99.8 ,9908722.0, 97.69 , 0.9274940911672136 , 112504026,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815878 , 128878905 , 99.79 ,8247437.0, 97.4 , 0.9181575776598789 , 127818942,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815944 , 98444224 , 99.8 ,7306690.0, 97.81 , 0.9171922723976957 , 97686194,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815945 , 118700475 , 99.79 ,10090849.0, 97.64 , 0.9031283517350188 , 117728194,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815946 , 194120031 , 99.55 ,38246279.0, 96.95 , 0.9752047440053313 , 192516054,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815947 , 206488961 , 99.62 ,38750522.0, 97.18 , 0.977143688750405 , 204988154,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815948 , 194776120 , 99.71 ,39253073.0, 97.24 , 0.9787056128958601 , 193429784,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815949 , 138584637 , 99.79 ,11800520.0, 97.63 , 0.9436451457664655 , 137385946,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815950 , 128279607 , 99.79 ,13045129.0, 97.45 , 0.9995716837970093 , 127178608,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815951 , 102080500 , 99.83 ,10543432.0, 97.85 , 0.9204578353751323 , 101318936,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815952 , 127186538 , 99.8 ,14430243.0, 97.6 , 0.880204031964634 , 126243934,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815953 , 17458532 , 99.78 ,895224.0, 97.53 , 0.9428291388824454 , 17314812,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815954 , 267291845 , 99.76 ,60802026.0, 97.59 , 0.9695029801502567 , 265672064,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815955 , 184264651 , 99.68 ,41304101.0, 97.27 , 0.9798137527882289 , 182935676,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815956 , 123740545 , 99.8 ,10899008.0, 97.54 , 0.8981985119672585 , 122751820,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815957 , 183893520 , 99.52 ,36718457.0, 97.11 , 0.976395103685436 , 182525178,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815958 , 170359236 , 99.71 ,36875243.0, 97.28 , 0.9724690530820894 , 169070134,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815959 , 200830781 , 99.59 ,34473071.0, 96.96 , 0.9771872182326522 , 199294470,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815961 , 192906212 , 99.71 ,40313736.0, 97.43 , 0.9672670176714818 , 191611406,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815962 , 111698371 , 99.79 ,9586871.0, 97.62 , 0.906555888329701 , 110872844,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815963 , 130039353 , 99.48 ,11034466.0, 97.13 , 0.950533605932784 , 128902752,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815964 , 124825299 , 99.78 ,10123859.0, 97.33 , 0.9455055173414988 , 123732912,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815965 , 140460528 , 99.77 ,14520619.0, 97.56 , 0.9289073919489804 , 139334708,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815966 , 117153533 , 99.64 ,8899860.0, 97.29 , 0.8987796038353875 , 116428264,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815967 , 123116601 , 99.7 ,8313431.000000001, 97.4 , 0.9089822432144521 , 122175098,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815960 , 218913868 , 99.73 ,43038235.0, 97.27 , 0.9804374408385708 , 217255860,sumstats/Amphilophus_citrinellus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815716 , 210170030 , 99.79 ,43696845.0, 97.57 , 0.978641620618841 , 208680828,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815718 , 220473616 , 99.78 ,41994604.0, 97.51 , 0.9817485110510873 , 218984244,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815719 , 184813899 , 99.73 ,44300301.0, 97.73 , 0.9775663004333641 , 183633892,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815720 , 205271390 , 99.76 ,37819970.0, 97.72 , 0.9777081919288533 , 203953562,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815721 , 170620604 , 99.75 ,32786484.0, 97.44 , 0.9792266287724424 , 169412560,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815722 , 128012906 , 99.8 ,11504572.0, 97.98 , 0.8845430468045787 , 127128340,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815723 , 126888569 , 99.7 ,12135562.0, 97.81 , 0.9207486689275615 , 125960694,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815724 , 226660774 , 99.49 ,51157305.0, 97.35 , 0.9809526764836195 , 225205646,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815725 , 121539037 , 99.76 ,10843280.0, 97.54 , 0.9996006173474392 , 120552966,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815726 , 179901705 , 92.7 ,42549949.0, 90.55 , 0.9801907000166837 , 178579936,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815727 , 129087938 , 98.47 ,10298761.0, 95.99 , 0.9396826996553121 , 127997616,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815728 , 147782634 , 96.04 ,11233681.999999998, 93.8 , 0.929627186578556 , 146623810,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815729 , 131728625 , 99.53 ,35864040.0, 97.47 , 0.9135914734030876 , 130615020,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815731 , 174197437 , 99.72 ,38269997.0, 97.43 , 0.9766427538772801 , 172948116,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815732 , 204108186 , 99.76 ,42801871.0, 97.43 , 0.9811749886371594 , 202709640,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815717 , 129037088 , 99.76 ,26069488.0, 97.48 , 0.9778612665654944 , 128181448,sumstats/Amphilophus_flaveolus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815700 , 129888564 , 99.74 ,11282055.0, 97.67 , 0.9501599460579571 , 128923754,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815702 , 172067298 , 99.66 ,31230800.000000004, 97.19 , 0.9633707641591849 , 170865036,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815703 , 171728631 , 99.72 ,33411538.0, 97.3 , 0.9774540383854265 , 170575688,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815704 , 188472056 , 99.77 ,36877015.0, 97.29 , 0.9811689523199149 , 187154104,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815705 , 87302445 , 99.78 ,6922840.0, 97.38 , 0.9995682310949334 , 86541340,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815706 , 133150423 , 99.74 ,11559526.0, 97.6 , 0.9266742065433177 , 132196212,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815707 , 118520880 , 99.76 ,6724138.0, 97.47 , 0.9106163326710314 , 117577282,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815708 , 152650443 , 99.75 ,12643681.0, 97.53 , 0.9370412165088106 , 151431912,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815709 , 41037795 , 99.53 ,10933588.0, 97.47 , 0.9080135377981663 , 40697964,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815710 , 119465164 , 99.64 ,11037705.0, 97.62 , 0.926420607991093 , 118515860,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815712 , 143313667 , 99.76 ,33643939.0, 97.56 , 0.9830851950595274 , 142297164,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815713 , 68781605 , 99.78 ,10140200.0, 97.55 , 0.9788755717859489 , 68339366,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815714 , 186130419 , 99.72 ,30204322.0, 97.5 , 0.9756368224672833 , 184895346,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815715 , 204633166 , 99.62 ,43294655.0, 97.24 , 0.9787241604586213 , 203226456,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815733 , 92891513 , 99.74 ,4463655.0, 97.4 , 0.96787213001446 , 92180252,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815734 , 155814036 , 99.83 ,22901948.0, 97.59 , 0.9811599424611054 , 154372130,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815737 , 143269127 , 99.81 ,7322162.0, 97.47 , 0.969692166620056 , 142265002,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815738 , 183301251 , 99.81 ,10153684.0, 97.34 , 0.9713350405879402 , 181911640,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815739 , 233888381 , 99.83 ,18124112.0, 97.62 , 0.9717288477043527 , 231950368,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815740 , 158312306 , 99.83 ,19395840.0, 97.83 , 0.9777411409459006 , 156739148,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815741 , 167686348 , 99.77 ,8699393.0, 97.38 , 0.9612182100772075 , 166367048,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815742 , 188493559 , 99.84 ,19854421.0, 97.9 , 0.9759839875997482 , 187052664,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815735 , 151967678 , 99.84 ,15130583.0, 97.72 , 0.9721837225954563 , 150722204,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815701 , 179311493 , 99.61 ,32542773.0, 97.22 , 0.9675577618051839 , 178145754,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815736 , 114347287 , 99.83 ,9648238.0, 97.83 , 0.9736367447460573 , 113411942,sumstats/Amphilophus_globosus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815880 , 191790289 , 99.43 ,27633040.999999996, 97.09 , 0.9797991836269702 , 190518908,sumstats/Amphilophus_labiatus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815881 , 221058372 , 99.59 ,48196714.0, 97.04 , 0.9742851032642192 , 219314636,sumstats/Amphilophus_labiatus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815882 , 202178278 , 99.6 ,55432481.00000001, 97.28 , 0.9710754521663715 , 200799922,sumstats/Amphilophus_labiatus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815883 , 214058973 , 99.66 ,38849275.0, 97.37 , 0.977751303916475 , 212574800,sumstats/Amphilophus_labiatus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815884 , 129415831 , 99.76 ,12297951.0, 97.51 , 0.9354922692139084 , 128387554,sumstats/Amphilophus_labiatus_GCA_013435755.1_bam_sumstats.txt
SAMEA6815885 , 88029180 , 98.42 ,18095952.0, 96.04 , 0.9701451418662587 , 87444954,sumstats/Amphilophus_labiatus_GCA_013435755.1_bam_sumstats.txt
