Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioSampleModel,sex,Tissue,dev_stage,Isolate,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Lat_Lon,Strain,BIOMATERIAL_PROVIDER,Age,SAMPLE_TYPE,Birth_date,birth_location,breeding_history,health_state,Isolation_Source,Ecotype,Collection_Date,env_broad_scale,env_local_scale,env_medium,isol_growth_condt,bird_band_identification,samp_collect_device,sub_species,Specimen_voucher,BREED,actual_read_length (run),bioproject,run (run),total_bases (run),center_name (exp),Cultivar,estimated_size,num_replicons,ploidy,project_name,propagation,Sample_name
SRR18106127,WGS,300,28349565000,PRJNA705840,SAMN18104312,13727167217,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX14256830,Illumina NovaSeq 6000,Lpo genome 10X genomics 1,PAIRED,RANDOM,GENOMIC,Larimichthys polyactis,ILLUMINA,2022-02-24T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR18106128,WGS,7833,4980261270,PRJNA705840,SAMN18104312,1257725916,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX14256829,PacBio RS,Lpo genome pacbio 10,SINGLE,RANDOM,GENOMIC,Larimichthys polyactis,PACBIO_SMRT,2022-02-23T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR18106129,WGS,8104,5259158960,PRJNA705840,SAMN18104312,1328025255,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX14256828,PacBio RS,Lpo genome pacbio 9,SINGLE,RANDOM,GENOMIC,Larimichthys polyactis,PACBIO_SMRT,2022-02-23T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR18106130,WGS,300,70739125800,PRJNA705840,SAMN18104312,31364445102,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14256827,Illumina NovaSeq 6000,Lpo genome illumina 2,PAIRED,RANDOM,GENOMIC,Larimichthys polyactis,ILLUMINA,2022-02-25T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR18106131,WGS,300,57629908800,PRJNA705840,SAMN18104312,25471150954,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX14256826,Illumina NovaSeq 6000,Lpo genome illumina 1,PAIRED,RANDOM,GENOMIC,Larimichthys polyactis,ILLUMINA,2022-02-24T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
DRR240140,WGS,500,73975408500,PRJDB10371,SAMD00239084,40678303872,NIG,public,sra,"s3,gs","gs.US,s3.us-east-1",DRX230015,Illumina HiSeq 2500,,PAIRED,RANDOM,GENOMIC,Oryzias celebensis,ILLUMINA,2020-08-13T00:00:00Z,SAMD00239084,DRP006373,MIGS.eu,,,,missing,Indonesia,Asia,"Indonesia:Sulawesi\, Makassar",missing,missing,,,,,,,,,missing,1979-03,fresh water,freshwater river,water,missing,,,,,Ujung pandang (RS278),,,,,,missing,700 Mb,18,diploid,Whole genome sequencing of Oryzias celebensis,sexual,Oryzias celebensis RS278 female
DRR240141,WGS,11745,88141126542,PRJDB10371,SAMD00239084,61686332923,NIG,public,sra,"s3,gs","s3.us-east-1,gs.US",DRX230016,PacBio RS II,,SINGLE,RANDOM,GENOMIC,Oryzias celebensis,PACBIO_SMRT,2020-08-13T00:00:00Z,SAMD00239084,DRP006373,MIGS.eu,,,,missing,Indonesia,Asia,"Indonesia:Sulawesi\, Makassar",missing,missing,,,,,,,,,missing,1979-03,fresh water,freshwater river,water,missing,,,,,Ujung pandang (RS278),,,,,,missing,700 Mb,18,diploid,Whole genome sequencing of Oryzias celebensis,sexual,Oryzias celebensis RS278 female
SRR15042441,RNA-Seq,300,8523364800,PRJNA705840,SAMN18104312,3563206631,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11353112,Illumina HiSeq 2000,Lpol1,PAIRED,cDNA,TRANSCRIPTOMIC,Larimichthys polyactis,ILLUMINA,2021-07-05T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR15042442,RNA-Seq,300,8239593900,PRJNA705840,SAMN18104312,3438156288,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11353111,Illumina HiSeq 2000,Lpok1,PAIRED,cDNA,TRANSCRIPTOMIC,Larimichthys polyactis,ILLUMINA,2021-07-05T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR15042443,RNA-Seq,300,5968771500,PRJNA705840,SAMN18104312,2399671196,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX11353110,Illumina HiSeq 2000,Lpoin1,PAIRED,cDNA,TRANSCRIPTOMIC,Larimichthys polyactis,ILLUMINA,2021-07-05T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR15042444,RNA-Seq,300,8001350700,PRJNA705840,SAMN18104312,3391076327,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11353109,Illumina HiSeq 2000,Lpoh1,PAIRED,cDNA,TRANSCRIPTOMIC,Larimichthys polyactis,ILLUMINA,2021-07-05T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR15042445,RNA-Seq,300,8340301200,PRJNA705840,SAMN18104312,3501216424,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX11353108,Illumina HiSeq 2000,Lpohk1,PAIRED,cDNA,TRANSCRIPTOMIC,Larimichthys polyactis,ILLUMINA,2021-07-05T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR15042446,RNA-Seq,300,7913084100,PRJNA705840,SAMN18104312,3338902912,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11353107,Illumina HiSeq 2000,Lpot1,PAIRED,cDNA,TRANSCRIPTOMIC,Larimichthys polyactis,ILLUMINA,2021-07-05T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR15042447,RNA-Seq,300,8908111800,PRJNA705840,SAMN18104312,3782277323,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11353106,Illumina HiSeq 2000,Lpoo1,PAIRED,cDNA,TRANSCRIPTOMIC,Larimichthys polyactis,ILLUMINA,2021-07-05T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR15042448,RNA-Seq,300,9495456000,PRJNA705840,SAMN18104312,3977054678,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11353105,Illumina HiSeq 2000,Lpog1,PAIRED,cDNA,TRANSCRIPTOMIC,Larimichthys polyactis,ILLUMINA,2021-07-05T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR15042449,RNA-Seq,300,7736392800,PRJNA705840,SAMN18104312,3241892679,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX11353104,Illumina HiSeq 2000,Lposp,PAIRED,cDNA,TRANSCRIPTOMIC,Larimichthys polyactis,ILLUMINA,2021-07-05T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR15042450,RNA-Seq,300,6839521500,PRJNA705840,SAMN18104312,2767477032,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX11353103,Illumina HiSeq 2000,Lposk1,PAIRED,cDNA,TRANSCRIPTOMIC,Larimichthys polyactis,ILLUMINA,2021-07-05T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR15042451,RNA-Seq,300,8763101400,PRJNA705840,SAMN18104312,3719494866,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX11353102,Illumina HiSeq 2000,Lpom1,PAIRED,cDNA,TRANSCRIPTOMIC,Larimichthys polyactis,ILLUMINA,2021-07-05T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR15042452,RNA-Seq,300,7746613200,PRJNA705840,SAMN18104312,3276217019,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX11353101,Illumina HiSeq 2000,Lpoe1,PAIRED,cDNA,TRANSCRIPTOMIC,Larimichthys polyactis,ILLUMINA,2021-07-05T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR15042453,RNA-Seq,300,7485081300,PRJNA705840,SAMN18104312,3168494286,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11353100,Illumina HiSeq 2000,Lpob1,PAIRED,cDNA,TRANSCRIPTOMIC,Larimichthys polyactis,ILLUMINA,2021-07-05T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR7525605,WGS,302,71362339676,PRJNA72525,SAMN09545661,36602831308,MCDONNELL GENOME INSTITUTE AT WASHINGTON UNIVERSITY,public,"bam,sra",s3,s3.us-east-1,SRX4394150,HiSeq X Ten,XMAC-XmA114C-Xm1-2-lib1,PAIRED,PCR,GENOMIC,Xiphophorus maculatus,ILLUMINA,2018-07-16T00:00:00Z,JP_163_A_Male,SRP148792,Model organism or animal,not collected,not collected,not collected,adult,,,,,JP 163 A,,not collected,,,,,,,missing,,,,,,,,,,male,,,,,,muscle,,,,,,
SRR16505071,WGS,300,2735236200,PRJNA772931,SAMN22420268,1003009498,UNIVERSITY OF MANITOBA,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX12707969,Illumina NovaSeq 6000,PM99,PAIRED,PCR,GENOMIC,Progne subis subis,ILLUMINA,2022-02-15T00:00:00Z,PM99,SRP342348,MIGS.eu,,,,,Canada,North America,Canada,52.391 N 113.612 W,,,,,,,,,,Alberta,2014-07-13,ENVO:01000193,ENVO:01000252,not applicable,not applicable,253104461,blood sample drawn from bird's brachial vein,subis,,,,,,,,,,,,,,
SRR16505072,WGS,300,2047938900,PRJNA772931,SAMN22420267,776756990,UNIVERSITY OF MANITOBA,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12707968,Illumina NovaSeq 6000,PM98,PAIRED,PCR,GENOMIC,Progne subis subis,ILLUMINA,2022-02-15T00:00:00Z,PM98,SRP342348,MIGS.eu,,,,,Canada,North America,Canada,52.391 N 113.612 W,,,,,,,,,,Alberta,2013-07-05,ENVO:01000193,ENVO:01000252,not applicable,not applicable,253104392,blood sample drawn from bird's brachial vein,subis,,,,,,,,,,,,,,
SRR16505073,WGS,300,2195675700,PRJNA772931,SAMN22420266,805198238,UNIVERSITY OF MANITOBA,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12707967,Illumina NovaSeq 6000,PM97,PAIRED,PCR,GENOMIC,Progne subis subis,ILLUMINA,2022-02-15T00:00:00Z,PM97,SRP342348,MIGS.eu,,,,,Canada,North America,Canada,52.391 N 113.612 W,,,,,,,,,,Alberta,2013-07-04,ENVO:01000193,ENVO:01000252,not applicable,not applicable,253104380,blood sample drawn from bird's brachial vein,subis,,,,,,,,,,,,,,
SRR16505074,WGS,300,2699427600,PRJNA772931,SAMN22420265,986288702,UNIVERSITY OF MANITOBA,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12707966,Illumina NovaSeq 6000,PM94,PAIRED,PCR,GENOMIC,Progne subis subis,ILLUMINA,2022-02-15T00:00:00Z,PM94,SRP342348,MIGS.eu,,,,,USA,North America,USA,28.36 N 81.588 W,,,,,,,,,,Florida,2015-04-27,ENVO:01000193,ENVO:01000252,not applicable,not applicable,250145329,blood sample drawn from bird's brachial vein,subis,,,,,,,,,,,,,,
SRR16505075,WGS,300,2432764200,PRJNA772931,SAMN22420264,892252005,UNIVERSITY OF MANITOBA,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12707965,Illumina NovaSeq 6000,PM93,PAIRED,PCR,GENOMIC,Progne subis subis,ILLUMINA,2022-02-15T00:00:00Z,PM93,SRP342348,MIGS.eu,,,,,Canada,North America,Canada,53.011 N 112.864 W,,,,,,,,,,Alberta,2014-07-11,ENVO:01000193,ENVO:01000252,not applicable,not applicable,250145301,blood sample drawn from bird's brachial vein,subis,,,,,,,,,,,,,,
