BioSample,refGenome,Organism,,BioSample,refGenome,Run,Organism,BioProject,LibraryName,,,,
SAMN03333219,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333219,,,,
SAMN03333189,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333189,,,,
SAMN03333192,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333192,,,,
SAMN03333213,GCF_001522545.3,Parus_major,,PRJNA274877,NA,NA,GCF_001522545.3,,SAMN03333213,,,,
SAMN04296347,GCF_001522545.3,Parus_major,,PRJNA304164,48.06,15.91,GCF_001522545.3,,SAMN04296347,,,,
SAMN04296348,GCF_001522545.3,Parus_major,,PRJNA304164,51.16,4.29,GCF_001522545.3,,SAMN04296348,,,,
SAMN04296349,GCF_001522545.3,Parus_major,,PRJNA304164,52.24,-0.14,GCF_001522545.3,,SAMN04296349,,,,
SAMN04296350,GCF_001522545.3,Parus_major,,PRJNA304164,42.22,8.45,GCF_001522545.3,,SAMN04296350,,,,
SAMN04296351,GCF_001522545.3,Parus_major,,PRJNA304164,49.32,17.04,GCF_001522545.3,,SAMN04296351,,,,
SAMN04296352,GCF_001522545.3,Parus_major,,PRJNA304164,58.07,25.05,GCF_001522545.3,,SAMN04296352,,,,
SAMN04296353,GCF_001522545.3,Parus_major,,PRJNA304164,58.07,25.05,GCF_001522545.3,,SAMN04296353,,,,
SAMN04296354,GCF_001522545.3,Parus_major,,PRJNA304164,65,25.3,GCF_001522545.3,,SAMN04296354,,,,
SAMN04296355,GCF_001522545.3,Parus_major,,PRJNA304164,43.4,3.4,GCF_001522545.3,,SAMN04296355,,,,
SAMN04296356,GCF_001522545.3,Parus_major,,PRJNA304164,43.37,3.52,GCF_001522545.3,,SAMN04296356,,,,
SAMN04296357,GCF_001522545.3,Parus_major,,PRJNA304164,43.4,3.4,GCF_001522545.3,,SAMN04296357,,,,
SAMN04296358,GCF_001522545.3,Parus_major,,PRJNA304164,47.99,11.35,GCF_001522545.3,,SAMN04296358,,,,
SAMN04296359,GCF_001522545.3,Parus_major,,PRJNA304164,47.43,19.1,GCF_001522545.3,,SAMN04296359,,,,
SAMN04296360,GCF_001522545.3,Parus_major,,PRJNA304164,69.2,19.34,GCF_001522545.3,,SAMN04296360,,,,
SAMN04296361,GCF_001522545.3,Parus_major,,PRJNA304164,50.06,20.25,GCF_001522545.3,,SAMN04296361,,,,
SAMN04296362,GCF_001522545.3,Parus_major,,PRJNA304164,56.08,-4.37,GCF_001522545.3,,SAMN04296362,,,,
SAMN04296363,GCF_001522545.3,Parus_major,,PRJNA304164,38.44,-0.33,GCF_001522545.3,,SAMN04296363,,,,
SAMN04296364,GCF_001522545.3,Parus_major,,PRJNA304164,38.39,-0.32,GCF_001522545.3,,SAMN04296364,,,,
SAMN04296365,GCF_001522545.3,Parus_major,,PRJNA304164,57.05,18.18,GCF_001522545.3,,SAMN04296365,,,,
SAMN04296376,GCF_001522545.3,Parus_major,,PRJNA304164,NA,NA,GCF_001522545.3,,SAMN04296376,,,,
SAMN04296366,GCF_001522545.3,Parus_major,,PRJNA304164,51.77,-1.34,GCF_001522545.3,,SAMN04296366,,,,
SAMN04296367,GCF_001522545.3,Parus_major,,PRJNA304164,51.77,-1.34,GCF_001522545.3,,SAMN04296367,,,,
SAMN04296368,GCF_001522545.3,Parus_major,,PRJNA304164,51.77,-1.34,GCF_001522545.3,,SAMN04296368,,,,
SAMN04296369,GCF_001522545.3,Parus_major,,PRJNA304164,51.77,-1.34,GCF_001522545.3,,SAMN04296369,,,,
SAMN04296370,GCF_001522545.3,Parus_major,,PRJNA304164,51.77,-1.34,GCF_001522545.3,,SAMN04296370,,,,
SAMN04296371,GCF_001522545.3,Parus_major,,PRJNA304164,51.77,-1.34,GCF_001522545.3,,SAMN04296371,,,,
SAMN04296372,GCF_001522545.3,Parus_major,,PRJNA304164,51.77,-1.34,GCF_001522545.3,,SAMN04296372,,,,
SAMN04296373,GCF_001522545.3,Parus_major,,PRJNA304164,51.77,-1.34,GCF_001522545.3,,SAMN04296373,,,,
SAMN04296374,GCF_001522545.3,Parus_major,,PRJNA304164,51.77,-1.34,GCF_001522545.3,,SAMN04296374,,,,
SAMN04296375,GCF_001522545.3,Parus_major,,PRJNA304164,51.77,-1.34,GCF_001522545.3,,SAMN04296375,refGenome,Run,Organism,BioProject
SAMD00010024,GCF_902500615.1,Pungitius_pungitius,,,,DRR013346,Pungitius_pungitius,PRJDB2321,EGK01_01P06_L2,,,,
SAMD00013056,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR032277,Gasterosteus_aculeatus,PRJDB2614,library_SAMD00013056,,,,
SAMD00013057,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR032276,Gasterosteus_aculeatus,PRJDB2614,library_SAMD00013057,,,,
SAMD00013064,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR032274,Gasterosteus_aculeatus,PRJDB2614,library_SAMD00013064,,,,
SAMD00013068,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR032275,Gasterosteus_aculeatus,PRJDB2614,library_SAMD00013068,,,,
SAMD00056764,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066575,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056764,,,,
SAMD00056765,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066576,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056765,,,,
SAMD00056766,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066577,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056766,,,,
SAMD00056767,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066578,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056767,,,,
SAMD00056768,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066579,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056768,,,,
SAMD00056769,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066580,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056769,,,,
SAMD00056770,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066581,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056770,,,,
SAMD00056771,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066582,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056771,,,,
SAMD00056772,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066583,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056772,,,,
SAMD00056773,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066584,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056773,,,,
SAMD00056774,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066585,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056774,,,,
SAMD00056775,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066586,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056775,,,,
SAMD00056776,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066587,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056776,,,,
SAMD00056777,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066588,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056777,,,,
SAMD00056778,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066589,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056778,,,,
SAMD00056779,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066590,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056779,,,,
SAMD00056780,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066591,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056780,,,,
SAMD00056781,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066592,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056781,,,,
SAMD00056782,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066593,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056782,,,,
SAMD00056783,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066594,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056783,,,,
SAMD00056784,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066595,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056784,,,,
SAMD00056785,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066596,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056785,,,,
SAMD00056786,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066597,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056786,,,,
SAMD00056787,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066598,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056787,,,,
SAMD00056788,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066599,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056788,,,,
SAMD00056789,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066600,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056789,,,,
SAMD00056790,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066601,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056790,,,,
SAMD00056791,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066602,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056791,,,,
SAMD00056792,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066603,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056792,,,,
SAMD00056793,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066604,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056793,,,,
SAMD00056794,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066605,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056794,,,,
SAMD00056795,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066606,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056795,,,,
SAMD00056796,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066607,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056796,,,,
SAMD00056797,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066608,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056797,,,,
SAMD00056798,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066609,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056798,,,,
SAMD00056799,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066610,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056799,,,,
SAMD00056800,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066611,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056800,,,,
SAMD00056801,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066612,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056801,,,,
SAMD00056802,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066613,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056802,,,,
SAMD00056803,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR066614,Gasterosteus_aculeatus,PRJDB5056,library_SAMD00056803,,,,
SAMD00057639,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR067125,Gasterosteus_aculeatus,PRJDB5097,library_SAMD00057639,,,,
SAMD00057640,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR067126,Gasterosteus_aculeatus,PRJDB5097,library_SAMD00057640,,,,
SAMD00057641,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR067127,Gasterosteus_aculeatus,PRJDB5097,library_SAMD00057641,,,,
SAMD00057642,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR067128,Gasterosteus_aculeatus,PRJDB5097,library_SAMD00057642,,,,
SAMD00057643,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR067129,Gasterosteus_aculeatus,PRJDB5097,library_SAMD00057643,,,,
SAMD00057644,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR067130,Gasterosteus_aculeatus,PRJDB5097,library_SAMD00057644,,,,
SAMD00057645,GCA_000180675.1,Gasterosteus_aculeatus,,,,DRR067131,Gasterosteus_aculeatus,PRJDB5097,library_SAMD00057645,,,,
SAMD00131486,GCA_015082035.1,Chaenogobius_annularis,,,,DRR174910,Chaenogobius_annularis,PRJDB7125,library_DRS159824,,,,
SAMD00131488,GCA_015082035.1,Chaenogobius_annularis,,,,DRR174911,Chaenogobius_annularis,PRJDB7125,library_DRS159825,,,,
SAMD00131634,GCA_015082035.1,Chaenogobius_annularis,,,,DRR174912,Chaenogobius_annularis,PRJDB7125,library_DRS159826,,,,
SAMD00131635,GCA_015082035.1,Chaenogobius_annularis,,,,DRR174913,Chaenogobius_annularis,PRJDB7125,library_DRS159827,,,,
SAMD00131636,GCA_015082035.1,Chaenogobius_annularis,,,,DRR174914,Chaenogobius_annularis,PRJDB7125,library_DRS159828,,,,
SAMD00131637,GCA_015082035.1,Chaenogobius_annularis,,,,DRR174915,Chaenogobius_annularis,PRJDB7125,library_DRS159829,,,,
SAMD00131638,GCA_015082035.1,Chaenogobius_annularis,,,,DRR174916,Chaenogobius_annularis,PRJDB7125,library_DRS159830,,,,
SAMD00131639,GCA_015082035.1,Chaenogobius_annularis,,,,DRR174917,Chaenogobius_annularis,PRJDB7125,library_DRS159831,,,,
SAMD00131640,GCA_015082035.1,Chaenogobius_annularis,,,,DRR174918,Chaenogobius_annularis,PRJDB7125,library_DRS159832,,,,
SAMD00131641,GCA_015082035.1,Chaenogobius_annularis,,,,DRR174919,Chaenogobius_annularis,PRJDB7125,library_DRS159833,,,,
SAMD00131642,GCA_015082035.1,Chaenogobius_annularis,,,,DRR174920,Chaenogobius_annularis,PRJDB7125,library_DRS159834,,,,
SAMD00131643,GCA_015082035.1,Chaenogobius_annularis,,,,DRR174921,Chaenogobius_annularis,PRJDB7125,library_DRS159835,,,,
SAMD00239084,GCF_002234675.1,Oryzias_celebensis,,,,DRR240140,Oryzias_celebensis,PRJDB10371BioSample,RS278,refGenome,Run,Organism,BioProject
SAMEA104152058,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2026385,Phylloscopus_collybita_abietinus,PRJEB21643,HISEQ:66:C24CPACXX,,,,
SAMEA104152947,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2026730,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104152947,,,,
SAMEA104152948,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2026731,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104152948,,,,
SAMEA104152949,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2026732,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104152949,,,,
SAMEA104152950,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2026733,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104152950,,,,
SAMEA104152951,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2026734,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104152951,,,,
SAMEA104152952,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2026735,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104152952,,,,
SAMEA104152953,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2026736,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104152953,,,,
SAMEA104152954,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2026737,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104152954,,,,
SAMEA104152955,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2026738,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104152955,,,,
SAMEA104152957,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2026814,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104152957,,,,
SAMEA104152958,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2026815,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104152958,,,,
SAMEA104152959,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2026816,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104152959,,,,
SAMEA104152960,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2026817,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104152960,,,,
SAMEA104156767,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029724,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104156767,,,,
SAMEA104156768,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029725,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104156768,,,,
SAMEA104156769,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029726,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104156769,,,,
SAMEA104156770,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029727,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104156770,,,,
SAMEA104156771,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029728,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104156771,,,,
SAMEA104156772,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029729,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104156772,,,,
SAMEA104156773,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029730,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104156773,,,,
SAMEA104156774,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029731,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104156774,,,,
SAMEA104156775,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029733,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104156775,,,,
SAMEA104156776,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029732,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104156776,,,,
SAMEA104157447,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2029743,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104157447,,,,
SAMEA104157448,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2029744,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104157448,,,,
SAMEA104157449,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2029745,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104157449,,,,
SAMEA104157450,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2029746,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104157450,,,,
SAMEA104157451,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2029747,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104157451,,,,
SAMEA104157452,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2029748,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104157452,,,,
SAMEA104157453,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2029749,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104157453,,,,
SAMEA104157454,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2029750,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104157454,,,,
SAMEA104157455,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2029751,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104157455,,,,
SAMEA104157456,GCA_016584745.1,Phylloscopus_collybita_abietinus,,,,ERR2029752,Phylloscopus_collybita_abietinus,PRJEB21643,library_SAMEA104157456,,,,
SAMEA104157457,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029753,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104157457,,,,
SAMEA104157458,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029754,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104157458,,,,
SAMEA104157459,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029755,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104157459,,,,
SAMEA104157460,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029756,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104157460,,,,
SAMEA104157461,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029757,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104157461,,,,
SAMEA104157462,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029758,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104157462,,,,
SAMEA104157463,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029759,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104157463,,,,
SAMEA104157464,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029760,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104157464,,,,
SAMEA104157465,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029761,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104157465,,,,
SAMEA104157466,GCA_016584745.1,Phylloscopus_collybita_tristis,,,,ERR2029762,Phylloscopus_collybita_tristis,PRJEB21643,library_SAMEA104157466,,,,
SAMEA104219275,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098911,Poecilia_reticulata,PRJEB22221,L_PR1,,,,
SAMEA104219275,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098911,Poecilia_reticulata,PRJEB22221,L_PR1,,,,
SAMEA104219276,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098912,Poecilia_reticulata,PRJEB22221,L_PR2,,,,
SAMEA104219276,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098912,Poecilia_reticulata,PRJEB22221,L_PR2,,,,
SAMEA104219277,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098913,Poecilia_reticulata,PRJEB22221,L_PR3,,,,
SAMEA104219277,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098913,Poecilia_reticulata,PRJEB22221,L_PR3,,,,
SAMEA104219278,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098914,Poecilia_reticulata,PRJEB22221,L_PR4,,,,
SAMEA104219278,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098914,Poecilia_reticulata,PRJEB22221,L_PR4,,,,
SAMEA104219279,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098915,Poecilia_reticulata,PRJEB22221,L_PR5,,,,
SAMEA104219279,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098915,Poecilia_reticulata,PRJEB22221,L_PR5,,,,
SAMEA104219280,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098916,Poecilia_reticulata,PRJEB22221,L_PR6,,,,
SAMEA104219280,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098916,Poecilia_reticulata,PRJEB22221,L_PR6,,,,
SAMEA104219281,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098917,Poecilia_reticulata,PRJEB22221,L_PR7,,,,
SAMEA104219281,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098917,Poecilia_reticulata,PRJEB22221,L_PR7,,,,
SAMEA104219282,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098918,Poecilia_reticulata,PRJEB22221,L_PR8,,,,
SAMEA104219282,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098918,Poecilia_reticulata,PRJEB22221,L_PR8,,,,
SAMEA104219283,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098919,Poecilia_reticulata,PRJEB22221,L_PR9,,,,
SAMEA104219283,GCF_000633615.1,Poecilia_reticulata,,,,ERR2098919,Poecilia_reticulata,PRJEB22221,L_PR9,,,,
